id,code,name,shortName,openingDate,closedDate,level,parent,image,sharing
z5YfQBf6qw9,EE_TEST,Test Hospital - Estonia,Test Hospital EE,2023-01-01,,3,oCIrEvEuEMe,,
ltcBWRiwgbl,EE_TEST_TEST,Test Department - Estonia,Test Department EE,2023-01-01,,4,z5YfQBf6qw9,,
ryf7qnzP9qt,ES_TEST,Test Hospital - Spain,Test Hospital ES,2023-01-01,,3,jn8VUBSGMLJ,,
s4tUtMHSMOZ,ES_TEST_TEST,Test Department - Spain,Test Department ES,2023-01-01,,4,ryf7qnzP9qt,,
ZxTR1BKRK1G,FI_TEST,Test Hospital - Finland,Test Hospital FI,2023-01-01,,3,F1BmzX94889,,
jhkeKqFDrd4,FI_TEST_TEST,Test Department - Finland,Test Department FI,2023-01-01,,4,ZxTR1BKRK1G,,
J9lh5nQxreK,FR_TEST,Test Hospital - France,Test Hospital FR,2023-01-01,,3,wx07pViIn1Z,,
eBPP9sGYMgn,FR_TEST_TEST,Test Department - France,Test Department FR,2023-01-01,,4,J9lh5nQxreK,,
C60wXHRjrcL,GB_TEST,Test Hospital - United Kingdom,Test Hospital GB,2023-01-01,,3,FeZZzIYYiHJ,,
mHC17KP9xL7,GB_TEST_TEST,Test Department - United Kingdom,Test Department GB,2023-01-01,,4,C60wXHRjrcL,,
Q8BTouAoH1M,GR_TEST,Test Hospital - Greece,Test Hospital GR,2023-01-01,,3,ZMkqqembM6a,,
lKfikjqWnDK,GR_TEST_TEST,Test Department - Greece,Test Department GR,2023-01-01,,4,Q8BTouAoH1M,,
S5xEPSWiGZd,HR_TEST,Test Hospital - Croatia,Test Hospital HR,2023-01-01,,3,HlL251NBKCy,,
un2NWnNWZaD,HR_TEST_TEST,Test Department - Croatia,Test Department HR,2023-01-01,,4,S5xEPSWiGZd,,
pYbb8NdXHq1,HU_TEST,Test Hospital - Hungary,Test Hospital HU,2023-01-01,,3,i1XZnf356As,,
rgvnVrrzqOX,HU_TEST_TEST,Test Department - Hungary,Test Department HU,2023-01-01,,4,pYbb8NdXHq1,,
zOsXI0n8jRt,IE_TEST,Test Hospital - Ireland,Test Hospital IE,2023-01-01,,3,OCrx3qP91nj,,
RM5N8fK8xhX,IE_TEST_TEST,Test Department - Ireland,Test Department IE,2023-01-01,,4,zOsXI0n8jRt,,
tdoNpIs0t3P,IS_TEST,Test Hospital - Iceland,Test Hospital IS,2023-01-01,,3,aK71S5CDImN,,
ISDNKwnJ6kk,IS_TEST_TEST,Test Department - Iceland,Test Department IS,2023-01-01,,4,tdoNpIs0t3P,,
U64gNyVZ6jN,IT_TEST,Test Hospital - Italy,Test Hospital IT,2023-01-01,,3,VPKU4h5Ny8H,,
lSOItsMXS5H,IT_TEST_TEST,Test Department - Italy,Test Department IT,2023-01-01,,4,U64gNyVZ6jN,,
jChZwwJLAXE,LI_TEST,Test Hospital - Liechtenstein,Test Hospital LI,2023-01-01,,3,tq2zUIdQIQ7,,
ONh3h9R89PJ,LI_TEST_TEST,Test Department - Liechtenstein,Test Department LI,2023-01-01,,4,jChZwwJLAXE,,
MCHiDf9XSON,LT_TEST,Test Hospital - Lithuania,Test Hospital LT,2023-01-01,,3,bMRFEIg8pU7,,
tlliB7YDlwO,LT_TEST_TEST,Test Department - Lithuania,Test Department LT,2023-01-01,,4,MCHiDf9XSON,,
AHKNL3Z5yWN,LU_TEST,Test Hospital - Luxembourg,Test Hospital LU,2023-01-01,,3,KyHYw0qvkyF,,
rekQjOeTyX7,LU_TEST_TEST,Test Department - Luxembourg,Test Department LU,2023-01-01,,4,AHKNL3Z5yWN,,
LGsQAj61f70,LV_TEST,Test Hospital - Latvia,Test Hospital LV,2023-01-01,,3,LtfdNUebXfJ,,
S9hWDHalxjU,LV_TEST_TEST,Test Department - Latvia,Test Department LV,2023-01-01,,4,LGsQAj61f70,,
hVcWyLOy2k3,ME_TEST,Test Hospital - Montenegro,Test Hospital ME,2023-01-01,,3,rlV3GMhi1tD,,
rEMWd4LkUb4,ME_TEST_TEST,Test Department - Montenegro,Test Department ME,2023-01-01,,4,hVcWyLOy2k3,,
PXrNP3UdWTt,MK_TEST,Test Hospital - North Macedonia,Test Hospital MK,2023-01-01,,3,Q2k0OOA3PvR,,
ICTXtaliPnw,MK_TEST_TEST,Test Department - North Macedonia,Test Department MK,2023-01-01,,4,PXrNP3UdWTt,,
gcII5xAal9B,MT_TEST,Test Hospital - Malta,Test Hospital MT,2023-01-01,,3,cucs0V94O6x,,
QQqcNfBr0gY,MT_TEST_TEST,Test Department - Malta,Test Department MT,2023-01-01,,4,gcII5xAal9B,,
oqIqnARVbSf,NL_TEST,Test Hospital - Netherlands,Test Hospital NL,2023-01-01,,3,Dp6elbeW9rd,,
uCsU89A06jG,NL_TEST_TEST,Test Department - Netherlands,Test Department NL,2023-01-01,,4,oqIqnARVbSf,,
hDpUzH1xtZB,NO_TEST,Test Hospital - Norway,Test Hospital NO,2023-01-01,,3,Hzsp9cDqL8v,,
QnCAC6AyyRd,NO_TEST_TEST,Test Department - Norway,Test Department NO,2023-01-01,,4,hDpUzH1xtZB,,
HshJB0Y05y4,NP_TEST,Test Hospital - Nepal,Test Hospital NP,2023-01-01,,3,FnzFDQotgEF,,
RK0pmOn2erT,NP_TEST_TEST,Test Department - Nepal,Test Department NP,2023-01-01,,4,HshJB0Y05y4,,
yMeWn6cuiG9,PL_TEST,Test Hospital - Poland,Test Hospital PL,2023-01-01,,3,SgMCyQO2nH4,,
xbVt4uyz1wv,PL_TEST_TEST,Test Department - Poland,Test Department PL,2023-01-01,,4,yMeWn6cuiG9,,
QXPzDiX3uQE,PT_TEST,Test Hospital - Portugal,Test Hospital PT,2023-01-01,,3,Gk1IZg10FDb,,
HOK9xynw0tH,PT_TEST_TEST,Test Department - Portugal,Test Department PT,2023-01-01,,4,QXPzDiX3uQE,,
o3LGmiD1bow,RO_TEST,Test Hospital - Romania,Test Hospital RO,2023-01-01,,3,KdWzqv8tQuI,,
bSux128QLpY,RO_TEST_TEST,Test Department - Romania,Test Department RO,2023-01-01,,4,o3LGmiD1bow,,
N0pJ8QeFJPV,RS_TEST,Test Hospital - Serbia,Test Hospital RS,2023-01-01,,3,JAcgjx4YtwP,,
dkZ7yqRGVje,RS_TEST_TEST,Test Department - Serbia,Test Department RS,2023-01-01,,4,N0pJ8QeFJPV,,
pwv8bzV0Scj,SE_TEST,Test Hospital - Sweden,Test Hospital SE,2023-01-01,,3,W9jyN9gEZDY,,
AMPHYYi5BBx,SE_TEST_TEST,Test Department - Sweden,Test Department SE,2023-01-01,,4,pwv8bzV0Scj,,
NlO23slm2YL,SI_TEST,Test Hospital - Slovenia,Test Hospital SI,2023-01-01,,3,br6gNfI6AgL,,
Vwi9WAezWY7,SI_TEST_TEST,Test Department - Slovenia,Test Department SI,2023-01-01,,4,NlO23slm2YL,,
MUEaP864UwM,SK_TEST,Test Hospital - Slovakia,Test Hospital SK,2023-01-01,,3,bB6E0LJ12W2,,
eULZWpQvNH7,SK_TEST_TEST,Test Department - Slovakia,Test Department SK,2023-01-01,,4,MUEaP864UwM,,
uaueUnysTAx,TR_TEST,Test Hospital - Türkiye,Test Hospital TR,2023-01-01,,3,Vf54CxEEFnK,,
ztKl3L6HhfP,TR_TEST_TEST,Test Department - Türkiye,Test Department TR,2023-01-01,,4,uaueUnysTAx,,
bOD3bMeS5jw,UA_TEST,Test Hospital - Ukraine,Test Hospital UA,2023-01-01,,3,AIsefdyU6b3,,
azResnaLMOJ,UA_TEST_TEST,Test Department - Ukraine,Test Department UA,2023-01-01,,4,bOD3bMeS5jw,,
sAha8P6OA11,ZA_TEST,Test Hospital - South Africa,Test Hospital ZA,2023-01-01,,3,sjNuvYmagtK,,
nGhH87axTJL,ZA_TEST_TEST,Test Department - South Africa,Test Department ZA,2023-01-01,,4,sAha8P6OA11,,
