id,property,needs_translation,default,translated
BE2_TEST_TEST,NAME,u,Testdepartment - Vlaams Gewest,
BE2_TEST_TEST,SHORT_NAME,u,Testdep. BE2,
BE3,NAME,u,Région wallonne,
BE3,SHORT_NAME,u,Région wallonne,
BE3_TEST,NAME,u,Testhospital - Région wallonne,
BE3_TEST,SHORT_NAME,u,Testhosp. BE3,
BE3_TEST_TEST,NAME,u,Testdepartment - Région wallonne,
BE3_TEST_TEST,SHORT_NAME,u,Testdep. BE3,
BG3,NAME,u,Северна и Югоизточна България [Severna i Yugoiztochna Bulgaria],
BG3,SHORT_NAME,u,Северна и Югоизточна България,
BG3_TEST,NAME,u,Testhospital - Северна и Югоизточна България,
BG3_TEST,SHORT_NAME,u,Testhosp. BG3,
BG3_TEST_TEST,NAME,u,Testdepartment - Северна и Югоизточна България,
BG3_TEST_TEST,SHORT_NAME,u,Testdep. BG3,
BG4,NAME,u,Югозападна и Южна централна България [Yugozapadna i Yuzhna tsentralna Bulgaria],
BG4,SHORT_NAME,u,Югозападна и Южна централна България,
BG4_TEST,NAME,u,Testhospital - Югозападна и Южна централна България,
BG4_TEST,SHORT_NAME,u,Testhosp. BG4,
BG4_TEST_TEST,NAME,u,Testdepartment - Югозападна и Южна централна България,
BG4_TEST_TEST,SHORT_NAME,u,Testdep. BG4,
CH_TEST,NAME,u,Testhospital - Schweiz/Suisse/Svizzera,
CH_TEST,SHORT_NAME,u,Testhosp. CH,
CH_TEST_TEST,NAME,u,Testdepartment - Schweiz/Suisse/Svizzera,
CH_TEST_TEST,SHORT_NAME,u,Testdep. CH,
CY_TEST,NAME,u,Testhospital - Κύπρος,
CY_TEST,SHORT_NAME,u,Testhosp. CY,
CY_TEST_TEST,NAME,u,Testdepartment - Κύπρος,
CY_TEST_TEST,SHORT_NAME,u,Testdep. CY,
CZ_TEST,NAME,u,Testhospital - Česko,
CZ_TEST,SHORT_NAME,u,Testhosp. CZ,
CZ_TEST_TEST,NAME,u,Testdepartment - Česko,
CZ_TEST_TEST,SHORT_NAME,u,Testdep. CZ,
DE1,NAME,u,Baden-Württemberg,
DE1,SHORT_NAME,u,Baden-Württemberg,
DE1_TEST,NAME,u,Testhospital - Baden-Württemberg,
DE1_TEST,SHORT_NAME,u,Testhosp. DE1,
DE1_TEST_TEST,NAME,u,Testdepartment - Baden-Württemberg,
DE1_TEST_TEST,SHORT_NAME,u,Testdep. DE1,
DE2,NAME,u,Bayern,
DE2,SHORT_NAME,u,Bayern,
DE2_TEST,NAME,u,Testhospital - Bayern,
DE2_TEST,SHORT_NAME,u,Testhosp. DE2,
DE2_TEST_TEST,NAME,u,Testdepartment - Bayern,
DE2_TEST_TEST,SHORT_NAME,u,Testdep. DE2,
DE3,NAME,u,Berlin,
DE3,SHORT_NAME,u,Berlin,
DE3_TEST,NAME,u,Testhospital - Berlin,
DE3_TEST,SHORT_NAME,u,Testhosp. DE3,
DE3_TEST_TEST,NAME,u,Testdepartment - Berlin,
DE3_TEST_TEST,SHORT_NAME,u,Testdep. DE3,
DE4,NAME,u,Brandenburg,
DE4,SHORT_NAME,u,Brandenburg,
DE4_TEST,NAME,u,Testhospital - Brandenburg,
DE4_TEST,SHORT_NAME,u,Testhosp. DE4,
DE4_TEST_TEST,NAME,u,Testdepartment - Brandenburg,
DE4_TEST_TEST,SHORT_NAME,u,Testdep. DE4,
DE5,NAME,u,Bremen,
DE5,SHORT_NAME,u,Bremen,
DE5_TEST,NAME,u,Testhospital - Bremen,
DE5_TEST,SHORT_NAME,u,Testhosp. DE5,
DE5_TEST_TEST,NAME,u,Testdepartment - Bremen,
DE5_TEST_TEST,SHORT_NAME,u,Testdep. DE5,
DE6,NAME,u,Hamburg,
DE6,SHORT_NAME,u,Hamburg,
DE6_TEST,NAME,u,Testhospital - Hamburg,
DE6_TEST,SHORT_NAME,u,Testhosp. DE6,
DE6_TEST_TEST,NAME,u,Testdepartment - Hamburg,
DE6_TEST_TEST,SHORT_NAME,u,Testdep. DE6,
DE7,NAME,u,Hessen,
DE7,SHORT_NAME,u,Hessen,
DE7_TEST,NAME,u,Testhospital - Hessen,
DE7_TEST,SHORT_NAME,u,Testhosp. DE7,
DE7_TEST_TEST,NAME,u,Testdepartment - Hessen,
DE7_TEST_TEST,SHORT_NAME,u,Testdep. DE7,
DE8,NAME,u,Mecklenburg-Vorpommern,
DE8,SHORT_NAME,u,Mecklenburg-Vorpommern,
DE8_TEST,NAME,u,Testhospital - Mecklenburg-Vorpommern,
DE8_TEST,SHORT_NAME,u,Testhosp. DE8,
DE8_TEST_TEST,NAME,u,Testdepartment - Mecklenburg-Vorpommern,
DE8_TEST_TEST,SHORT_NAME,u,Testdep. DE8,
DE9,NAME,u,Niedersachsen,
DE9,SHORT_NAME,u,Niedersachsen,
DE9_TEST,NAME,u,Testhospital - Niedersachsen,
DE9_TEST,SHORT_NAME,u,Testhosp. DE9,
DE9_TEST_TEST,NAME,u,Testdepartment - Niedersachsen,
DE9_TEST_TEST,SHORT_NAME,u,Testdep. DE9,
DEA,NAME,u,Nordrhein-Westfalen,
DEA,SHORT_NAME,u,Nordrhein-Westfalen,
DEA_TEST,NAME,u,Testhospital - Nordrhein-Westfalen,
DEA_TEST,SHORT_NAME,u,Testhosp. DEA,
DEA_TEST_TEST,NAME,u,Testdepartment - Nordrhein-Westfalen,
DEA_TEST_TEST,SHORT_NAME,u,Testdep. DEA,
DEB,NAME,u,Rheinland-Pfalz,
DEB,SHORT_NAME,u,Rheinland-Pfalz,
DEB_TEST,NAME,u,Testhospital - Rheinland-Pfalz,
DEB_TEST,SHORT_NAME,u,Testhosp. DEB,
DEB_TEST_TEST,NAME,u,Testdepartment - Rheinland-Pfalz,
DEB_TEST_TEST,SHORT_NAME,u,Testdep. DEB,
DEC,NAME,u,Saarland,
DEC,SHORT_NAME,u,Saarland,
DEC_TEST,NAME,u,Testhospital - Saarland,
DEC_TEST,SHORT_NAME,u,Testhosp. DEC,
DEC_TEST_TEST,NAME,u,Testdepartment - Saarland,
DEC_TEST_TEST,SHORT_NAME,u,Testdep. DEC,
DED,NAME,u,Sachsen,
DED,SHORT_NAME,u,Sachsen,
DED_TEST,NAME,u,Testhospital - Sachsen,
DED_TEST,SHORT_NAME,u,Testhosp. DED,
DED_TEST_TEST,NAME,u,Testdepartment - Sachsen,
DED_TEST_TEST,SHORT_NAME,u,Testdep. DED,
DEE,NAME,u,Sachsen-Anhalt,
DEE,SHORT_NAME,u,Sachsen-Anhalt,
DEE_TEST,NAME,u,Testhospital - Sachsen-Anhalt,
DEE_TEST,SHORT_NAME,u,Testhosp. DEE,
DEE_TEST_TEST,NAME,u,Testdepartment - Sachsen-Anhalt,
DEE_TEST_TEST,SHORT_NAME,u,Testdep. DEE,
DEF,NAME,u,Schleswig-Holstein,
DEF,SHORT_NAME,u,Schleswig-Holstein,
DEF_TEST,NAME,u,Testhospital - Schleswig-Holstein,
DEF_TEST,SHORT_NAME,u,Testhosp. DEF,
DEF_TEST_TEST,NAME,u,Testdepartment - Schleswig-Holstein,
DEF_TEST_TEST,SHORT_NAME,u,Testdep. DEF,
DEG,NAME,u,Thüringen,
DEG,SHORT_NAME,u,Thüringen,
DEG_TEST,NAME,u,Testhospital - Thüringen,
DEG_TEST,SHORT_NAME,u,Testhosp. DEG,
DEG_TEST_TEST,NAME,u,Testdepartment - Thüringen,
DEG_TEST_TEST,SHORT_NAME,u,Testdep. DEG,
DK_TEST,NAME,u,Testhospital - Danmark,
DK_TEST,SHORT_NAME,u,Testhosp. DK,
DK_TEST_TEST,NAME,u,Testdepartment - Danmark,
DK_TEST_TEST,SHORT_NAME,u,Testdep. DK,
EE_TEST,NAME,u,Testhospital - Eesti,
EE_TEST,SHORT_NAME,u,Testhosp. EE,
EE_TEST_TEST,NAME,u,Testdepartment - Eesti,
EE_TEST_TEST,SHORT_NAME,u,Testdep. EE,
EL3,NAME,u,Αττική [Attiki],
EL3,SHORT_NAME,u,Αττική,
EL3_TEST,NAME,u,Testhospital - Αττική,
EL3_TEST,SHORT_NAME,u,Testhosp. EL3,
EL3_TEST_TEST,NAME,u,Testdepartment - Αττική,
EL3_TEST_TEST,SHORT_NAME,u,Testdep. EL3,
EL4,NAME,u,"Νησιά Αιγαίου, Κρήτη [Nisia Aigaiou, Kriti]",
EL4,SHORT_NAME,u,"Νησιά Αιγαίου, Κρήτη",
EL4_TEST,NAME,u,"Testhospital - Νησιά Αιγαίου, Κρήτη",
EL4_TEST,SHORT_NAME,u,Testhosp. EL4,
EL4_TEST_TEST,NAME,u,"Testdepartment - Νησιά Αιγαίου, Κρήτη",
EL4_TEST_TEST,SHORT_NAME,u,Testdep. EL4,
EL5,NAME,u,Βόρεια Ελλάδα [Voreia Elláda],
EL5,SHORT_NAME,u,Βόρεια Ελλάδα,
EL5_TEST,NAME,u,Testhospital - Βόρεια Ελλάδα,
EL5_TEST,SHORT_NAME,u,Testhosp. EL5,
EL5_TEST_TEST,NAME,u,Testdepartment - Βόρεια Ελλάδα,
EL5_TEST_TEST,SHORT_NAME,u,Testdep. EL5,
EL6,NAME,u,Κεντρική Ελλάδα [Kentriki Elláda],
EL6,SHORT_NAME,u,Κεντρική Ελλάδα,
EL6_TEST,NAME,u,Testhospital - Κεντρική Ελλάδα,
EL6_TEST,SHORT_NAME,u,Testhosp. EL6,
EL6_TEST_TEST,NAME,u,Testdepartment - Κεντρική Ελλάδα,
EL6_TEST_TEST,SHORT_NAME,u,Testdep. EL6,
ES1,NAME,u,Noroeste,
ES1,SHORT_NAME,u,Noroeste,
ES1_TEST,NAME,u,Testhospital - Noroeste,
ES1_TEST,SHORT_NAME,u,Testhosp. ES1,
ES1_TEST_TEST,NAME,u,Testdepartment - Noroeste,
ES1_TEST_TEST,SHORT_NAME,u,Testdep. ES1,
ES2,NAME,u,Noreste,
ES2,SHORT_NAME,u,Noreste,
ES2_TEST,NAME,u,Testhospital - Noreste,
ES2_TEST,SHORT_NAME,u,Testhosp. ES2,
ES2_TEST_TEST,NAME,u,Testdepartment - Noreste,
ES2_TEST_TEST,SHORT_NAME,u,Testdep. ES2,
ES3,NAME,u,Comunidad de Madrid,
ES3,SHORT_NAME,u,Comunidad de Madrid,
ES3_TEST,NAME,u,Testhospital - Comunidad de Madrid,
ES3_TEST,SHORT_NAME,u,Testhosp. ES3,
ES3_TEST_TEST,NAME,u,Testdepartment - Comunidad de Madrid,
ES3_TEST_TEST,SHORT_NAME,u,Testdep. ES3,
ES4,NAME,u,Centro (ES),
ES4,SHORT_NAME,u,Centro (ES),
ES4_TEST,NAME,u,Testhospital - Centro (ES),
ES4_TEST,SHORT_NAME,u,Testhosp. ES4,
ES4_TEST_TEST,NAME,u,Testdepartment - Centro (ES),
ES4_TEST_TEST,SHORT_NAME,u,Testdep. ES4,
ES5,NAME,u,Este,
ES5,SHORT_NAME,u,Este,
ES5_TEST,NAME,u,Testhospital - Este,
ES5_TEST,SHORT_NAME,u,Testhosp. ES5,
ES5_TEST_TEST,NAME,u,Testdepartment - Este,
ES5_TEST_TEST,SHORT_NAME,u,Testdep. ES5,
ES6,NAME,u,Sur,
ES6,SHORT_NAME,u,Sur,
ES6_TEST,NAME,u,Testhospital - Sur,
ES6_TEST,SHORT_NAME,u,Testhosp. ES6,
ES6_TEST_TEST,NAME,u,Testdepartment - Sur,
ES6_TEST_TEST,SHORT_NAME,u,Testdep. ES6,
ES7,NAME,u,Canarias,
ES7,SHORT_NAME,u,Canarias,
ES7_TEST,NAME,u,Testhospital - Canarias,
ES7_TEST,SHORT_NAME,u,Testhosp. ES7,
ES7_TEST_TEST,NAME,u,Testdepartment - Canarias,
ES7_TEST_TEST,SHORT_NAME,u,Testdep. ES7,
FI1,NAME,u,Manner-Suomi,
FI1,SHORT_NAME,u,Manner-Suomi,
FI1_TEST,NAME,u,Testhospital - Manner-Suomi,
FI1_TEST,SHORT_NAME,u,Testhosp. FI1,
FI1_TEST_TEST,NAME,u,Testdepartment - Manner-Suomi,
FI1_TEST_TEST,SHORT_NAME,u,Testdep. FI1,
FI2,NAME,u,Åland,
FI2,SHORT_NAME,u,Åland,
FI2_TEST,NAME,u,Testhospital - Åland,
FI2_TEST,SHORT_NAME,u,Testhosp. FI2,
FI2_TEST_TEST,NAME,u,Testdepartment - Åland,
FI2_TEST_TEST,SHORT_NAME,u,Testdep. FI2,
FR1,NAME,u,Ile-de-France,
FR1,SHORT_NAME,u,Ile-de-France,
FR1_TEST,NAME,u,Testhospital - Île-de-France,
FR1_TEST,SHORT_NAME,u,Testhosp. FR1,
FR1_TEST_TEST,NAME,u,Testdepartment - Île-de-France,
FR1_TEST_TEST,SHORT_NAME,u,Testdep. FR1,
FRB,NAME,u,Centre — Val de Loire,
FRB,SHORT_NAME,u,Centre — Val de Loire,
FRB_TEST,NAME,u,Testhospital - Centre — Val de Loire,
FRB_TEST,SHORT_NAME,u,Testhosp. FRB,
FRB_TEST_TEST,NAME,u,Testdepartment - Centre — Val de Loire,
FRB_TEST_TEST,SHORT_NAME,u,Testdep. FRB,
FRC,NAME,u,Bourgogne-Franche-Comté,
FRC,SHORT_NAME,u,Bourgogne-Franche-Comté,
FRC_TEST,NAME,u,Testhospital - Bourgogne-Franche-Comté,
FRC_TEST,SHORT_NAME,u,Testhosp. FRC,
FRC_TEST_TEST,NAME,u,Testdepartment - Bourgogne-Franche-Comté,
FRC_TEST_TEST,SHORT_NAME,u,Testdep. FRC,
FRD,NAME,u,Normandie,
FRD,SHORT_NAME,u,Normandie,
FRD_TEST,NAME,u,Testhospital - Normandie,
FRD_TEST,SHORT_NAME,u,Testhosp. FRD,
FRD_TEST_TEST,NAME,u,Testdepartment - Normandie,
FRD_TEST_TEST,SHORT_NAME,u,Testdep. FRD,
FRE,NAME,u,Hauts-de-France,
FRE,SHORT_NAME,u,Hauts-de-France,
FRE_TEST,NAME,u,Testhospital - Hauts-de-France,
FRE_TEST,SHORT_NAME,u,Testhosp. FRE,
FRE_TEST_TEST,NAME,u,Testdepartment - Hauts-de-France,
FRE_TEST_TEST,SHORT_NAME,u,Testdep. FRE,
FRF,NAME,u,Grand Est,
FRF,SHORT_NAME,u,Grand Est,
FRF_TEST,NAME,u,Testhospital - Grand Est,
FRF_TEST,SHORT_NAME,u,Testhosp. FRF,
FRF_TEST_TEST,NAME,u,Testdepartment - Grand Est,
FRF_TEST_TEST,SHORT_NAME,u,Testdep. FRF,
FRG,NAME,u,Pays de la Loire,
FRG,SHORT_NAME,u,Pays de la Loire,
FRG_TEST,NAME,u,Testhospital - Pays de la Loire,
FRG_TEST,SHORT_NAME,u,Testhosp. FRG,
FRG_TEST_TEST,NAME,u,Testdepartment - Pays de la Loire,
FRG_TEST_TEST,SHORT_NAME,u,Testdep. FRG,
FRH,NAME,u,Bretagne,
FRH,SHORT_NAME,u,Bretagne,
FRH_TEST,NAME,u,Testhospital - Bretagne,
FRH_TEST,SHORT_NAME,u,Testhosp. FRH,
FRH_TEST_TEST,NAME,u,Testdepartment - Bretagne,
FRH_TEST_TEST,SHORT_NAME,u,Testdep. FRH,
FRI,NAME,u,Nouvelle-Aquitaine,
FRI,SHORT_NAME,u,Nouvelle-Aquitaine,
FRI_TEST,NAME,u,Testhospital - Nouvelle-Aquitaine,
FRI_TEST,SHORT_NAME,u,Testhosp. FRI,
FRI_TEST_TEST,NAME,u,Testdepartment - Nouvelle-Aquitaine,
FRI_TEST_TEST,SHORT_NAME,u,Testdep. FRI,
FRJ,NAME,u,Occitanie,
FRJ,SHORT_NAME,u,Occitanie,
FRJ_TEST,NAME,u,Testhospital - Occitanie,
FRJ_TEST,SHORT_NAME,u,Testhosp. FRJ,
FRJ_TEST_TEST,NAME,u,Testdepartment - Occitanie,
FRJ_TEST_TEST,SHORT_NAME,u,Testdep. FRJ,
FRK,NAME,u,Auvergne-Rhône-Alpes,
FRK,SHORT_NAME,u,Auvergne-Rhône-Alpes,
FRK_TEST,NAME,u,Testhospital - Auvergne-Rhône-Alpes,
FRK_TEST,SHORT_NAME,u,Testhosp. FRK,
FRK_TEST_TEST,NAME,u,Testdepartment - Auvergne-Rhône-Alpes,
FRK_TEST_TEST,SHORT_NAME,u,Testdep. FRK,
FRL,NAME,u,Provence-Alpes-Côte d’Azur,
FRL,SHORT_NAME,u,Provence-Alpes-Côte d’Azur,
FRL_TEST,NAME,u,Testhospital - Provence-Alpes-Côte d’Azur,
FRL_TEST,SHORT_NAME,u,Testhosp. FRL,
FRL_TEST_TEST,NAME,u,Testdepartment - Provence-Alpes-Côte d’Azur,
FRL_TEST_TEST,SHORT_NAME,u,Testdep. FRL,
FRM,NAME,u,Corse,
FRM,SHORT_NAME,u,Corse,
FRM_TEST,NAME,u,Testhospital - Corse,
FRM_TEST,SHORT_NAME,u,Testhosp. FRM,
FRM_TEST_TEST,NAME,u,Testdepartment - Corse,
FRM_TEST_TEST,SHORT_NAME,u,Testdep. FRM,
FRY,NAME,u,RUP FR — Régions Ultrapériphériques Françaises,
FRY,SHORT_NAME,u,RUP FR — Régions Ultrapériphériques Françaises,
FRY_TEST,NAME,u,Testhospital - RUP FR — Régions Ultrapériphériques Françaises,
FRY_TEST,SHORT_NAME,u,Testhosp. FRY,
FRY_TEST_TEST,NAME,u,Testdepartment - RUP FR — Régions Ultrapériphériques Françaises,
FRY_TEST_TEST,SHORT_NAME,u,Testdep. FRY,
HR_TEST,NAME,u,Testhospital - Hrvatska,
HR_TEST,SHORT_NAME,u,Testhosp. HR,
HR_TEST_TEST,NAME,u,Testdepartment - Hrvatska,
HR_TEST_TEST,SHORT_NAME,u,Testdep. HR,
HU1,NAME,u,Közép-Magyarország,
HU1,SHORT_NAME,u,Közép-Magyarország,
HU1_TEST,NAME,u,Testhospital - Közép-Magyarország,
HU1_TEST,SHORT_NAME,u,Testhosp. HU1,
HU1_TEST_TEST,NAME,u,Testdepartment - Közép-Magyarország,
HU1_TEST_TEST,SHORT_NAME,u,Testdep. HU1,
HU2,NAME,u,Dunántúl,
HU2,SHORT_NAME,u,Dunántúl,
HU2_TEST,NAME,u,Testhospital - Dunántúl,
HU2_TEST,SHORT_NAME,u,Testhosp. HU2,
HU2_TEST_TEST,NAME,u,Testdepartment - Dunántúl,
HU2_TEST_TEST,SHORT_NAME,u,Testdep. HU2,
HU3,NAME,u,Alföld és Észak,
HU3,SHORT_NAME,u,Alföld és Észak,
HU3_TEST,NAME,u,Testhospital - Alföld és Észak,
HU3_TEST,SHORT_NAME,u,Testhosp. HU3,
HU3_TEST_TEST,NAME,u,Testdepartment - Alföld és Észak,
HU3_TEST_TEST,SHORT_NAME,u,Testdep. HU3,
IE_TEST,NAME,u,Testhospital - Ireland,
IE_TEST,SHORT_NAME,u,Testhosp. IE,
IE_TEST_TEST,NAME,u,Testdepartment - Ireland,
IE_TEST_TEST,SHORT_NAME,u,Testdep. IE,
IS_TEST,NAME,u,Testhospital - Ísland,
IS_TEST,SHORT_NAME,u,Testhosp. IS,
IS_TEST_TEST,NAME,u,Testdepartment - Ísland,
IS_TEST_TEST,SHORT_NAME,u,Testdep. IS,
ITC,NAME,u,Nord-Ovest,
ITC,SHORT_NAME,u,Nord-Ovest,
ITC_TEST,NAME,u,Testhospital - Nord-Ovest,
ITC_TEST,SHORT_NAME,u,Testhosp. ITC,
ITC_TEST_TEST,NAME,u,Testdepartment - Nord-Ovest,
ITC_TEST_TEST,SHORT_NAME,u,Testdep. ITC,
ITF,NAME,u,Sud,
ITF,SHORT_NAME,u,Sud,
ITF_TEST,NAME,u,Testhospital - Sud,
ITF_TEST,SHORT_NAME,u,Testhosp. ITF,
ITF_TEST_TEST,NAME,u,Testdepartment - Sud,
ITF_TEST_TEST,SHORT_NAME,u,Testdep. ITF,
ITG,NAME,u,Isole,
ITG,SHORT_NAME,u,Isole,
ITG_TEST,NAME,u,Testhospital - Isole,
ITG_TEST,SHORT_NAME,u,Testhosp. ITG,
ITG_TEST_TEST,NAME,u,Testdepartment - Isole,
ITG_TEST_TEST,SHORT_NAME,u,Testdep. ITG,
ITH,NAME,u,Nord-Est,
ITH,SHORT_NAME,u,Nord-Est,
ITH_TEST,NAME,u,Testhospital - Nord-Est,
ITH_TEST,SHORT_NAME,u,Testhosp. ITH,
ITH_TEST_TEST,NAME,u,Testdepartment - Nord-Est,
ITH_TEST_TEST,SHORT_NAME,u,Testdep. ITH,
ITI,NAME,u,Centro (IT),
ITI,SHORT_NAME,u,Centro (IT),
ITI_TEST,NAME,u,Testhospital - Centro (IT),
ITI_TEST,SHORT_NAME,u,Testhosp. ITI,
ITI_TEST_TEST,NAME,u,Testdepartment - Centro (IT),
ITI_TEST_TEST,SHORT_NAME,u,Testdep. ITI,
LI_TEST,NAME,u,Testhospital - Liechtenstein,
LI_TEST,SHORT_NAME,u,Testhosp. LI,
LI_TEST_TEST,NAME,u,Testdepartment - Liechtenstein,
LI_TEST_TEST,SHORT_NAME,u,Testdep. LI,
LT_TEST,NAME,u,Testhospital - Lietuva,
LT_TEST,SHORT_NAME,u,Testhosp. LT,
LT_TEST_TEST,NAME,u,Testdepartment - Lietuva,
LT_TEST_TEST,SHORT_NAME,u,Testdep. LT,
LU_TEST,NAME,u,Testhospital - Luxembourg,
LU_TEST,SHORT_NAME,u,Testhosp. LU,
LU_TEST_TEST,NAME,u,Testdepartment - Luxembourg,
LU_TEST_TEST,SHORT_NAME,u,Testdep. LU,
LV_TEST,NAME,u,Testhospital - Latvija,
LV_TEST,SHORT_NAME,u,Testhosp. LV,
LV_TEST_TEST,NAME,u,Testdepartment - Latvija,
LV_TEST_TEST,SHORT_NAME,u,Testdep. LV,
ME_TEST,NAME,u,Testhospital - Црна Гора,
ME_TEST,SHORT_NAME,u,Testhosp. ME,
ME_TEST_TEST,NAME,u,Testdepartment - Црна Гора,
ME_TEST_TEST,SHORT_NAME,u,Testdep. ME,
MK_TEST,NAME,u,Testhospital - Северна Македонија,
MK_TEST,SHORT_NAME,u,Testhosp. MK,
MK_TEST_TEST,NAME,u,Testdepartment - Северна Македонија,
MK_TEST_TEST,SHORT_NAME,u,Testdep. MK,
MT_TEST,NAME,u,Testhospital - Malta,
MT_TEST,SHORT_NAME,u,Testhosp. MT,
MT_TEST_TEST,NAME,u,Testdepartment - Malta,
MT_TEST_TEST,SHORT_NAME,u,Testdep. MT,
NL1,NAME,u,Noord-Nederland,
NL1,SHORT_NAME,u,Noord-Nederland,
NL1_TEST,NAME,u,Testhospital - Noord-Nederland,
NL1_TEST,SHORT_NAME,u,Testhosp. NL1,
NL1_TEST_TEST,NAME,u,Testdepartment - Noord-Nederland,
NL1_TEST_TEST,SHORT_NAME,u,Testdep. NL1,
NL2,NAME,u,Oost-Nederland,
NL2,SHORT_NAME,u,Oost-Nederland,
NL2_TEST,NAME,u,Testhospital - Oost-Nederland,
NL2_TEST,SHORT_NAME,u,Testhosp. NL2,
NL2_TEST_TEST,NAME,u,Testdepartment - Oost-Nederland,
NL2_TEST_TEST,SHORT_NAME,u,Testdep. NL2,
NL3,NAME,u,West-Nederland,
NL3,SHORT_NAME,u,West-Nederland,
NL3_TEST,NAME,u,Testhospital - West-Nederland,
NL3_TEST,SHORT_NAME,u,Testhosp. NL3,
NL3_TEST_TEST,NAME,u,Testdepartment - West-Nederland,
NL3_TEST_TEST,SHORT_NAME,u,Testdep. NL3,
NL4,NAME,u,Zuid-Nederland,
NL4,SHORT_NAME,u,Zuid-Nederland,
NL4_TEST,NAME,u,Testhospital - Zuid-Nederland,
NL4_TEST,SHORT_NAME,u,Testhosp. NL4,
NL4_TEST_TEST,NAME,u,Testdepartment - Zuid-Nederland,
NL4_TEST_TEST,SHORT_NAME,u,Testdep. NL4,
NO_TEST,NAME,u,Testhospital - Norge,
NO_TEST,SHORT_NAME,u,Testhosp. NO,
NO_TEST_TEST,NAME,u,Testdepartment - Norge,
NO_TEST_TEST,SHORT_NAME,u,Testdep. NO,
PL2,NAME,u,Makroregion południowy,
PL2,SHORT_NAME,u,Makroregion południowy,
PL2_TEST,NAME,u,Testhospital - Makroregion południowy,
PL2_TEST,SHORT_NAME,u,Testhosp. PL2,
PL2_TEST_TEST,NAME,u,Testdepartment - Makroregion południowy,
PL2_TEST_TEST,SHORT_NAME,u,Testdep. PL2,
PL4,NAME,u,Makroregion północno-zachodni,
PL4,SHORT_NAME,u,Makroregion północno-zachodni,
PL4_TEST,NAME,u,Testhospital - Makroregion północno-zachodni,
PL4_TEST,SHORT_NAME,u,Testhosp. PL4,
PL4_TEST_TEST,NAME,u,Testdepartment - Makroregion północno-zachodni,
PL4_TEST_TEST,SHORT_NAME,u,Testdep. PL4,
PL5,NAME,u,Makroregion południowo-zachodni,
PL5,SHORT_NAME,u,Makroregion południowo-zachodni,
PL5_TEST,NAME,u,Testhospital - Makroregion południowo-zachodni,
PL5_TEST,SHORT_NAME,u,Testhosp. PL5,
PL5_TEST_TEST,NAME,u,Testdepartment - Makroregion południowo-zachodni,
PL5_TEST_TEST,SHORT_NAME,u,Testdep. PL5,
PL6,NAME,u,Makroregion północny,
PL6,SHORT_NAME,u,Makroregion północny,
PL6_TEST,NAME,u,Testhospital - Makroregion północny,
PL6_TEST,SHORT_NAME,u,Testhosp. PL6,
PL6_TEST_TEST,NAME,u,Testdepartment - Makroregion północny,
PL6_TEST_TEST,SHORT_NAME,u,Testdep. PL6,
PL7,NAME,u,Makroregion centralny,
PL7,SHORT_NAME,u,Makroregion centralny,
PL7_TEST,NAME,u,Testhospital - Makroregion centralny,
PL7_TEST,SHORT_NAME,u,Testhosp. PL7,
PL7_TEST_TEST,NAME,u,Testdepartment - Makroregion centralny,
PL7_TEST_TEST,SHORT_NAME,u,Testdep. PL7,
PL8,NAME,u,Makroregion wschodni,
PL8,SHORT_NAME,u,Makroregion wschodni,
