code,property,needs_translation,default,translated
BG3,NAME,t,Северна и Югоизточна България [Severna i Yugoiztochna Bulgaria],Northern and Eastern Bulgaria
BG3,SHORT_NAME,t,Северна и Югоизточна България,Northern and Eastern Bulgaria
BG3_TEST,NAME,t,Testhospital - Северна и Югоизточна България,Testhospital - Northern and Eastern Bulgaria
BG3_TEST,SHORT_NAME,f,Testhosp. BG3,
BG3_TEST_TEST,NAME,t,Testdepartment - Северна и Югоизточна България,Testdepartment - Northern and Eastern Bulgaria
BG3_TEST_TEST,SHORT_NAME,f,Testdep. BG3,
BG4,NAME,t,Югозападна и Южна централна България [Yugozapadna i Yuzhna tsentralna Bulgaria],South-Western and South-Central Bulgaria
BG4,SHORT_NAME,t,Югозападна и Южна централна България,South-Western and South-Central Bulgaria
BG4_TEST,NAME,t,Testhospital - Югозападна и Южна централна България,Testhospital - South-Western and South-Central Bulgaria
BG4_TEST,SHORT_NAME,f,Testhosp. BG4,
BG4_TEST_TEST,NAME,t,Testdepartment - Югозападна и Южна централна България,Testdepartment - South-Western and South-Central Bulgaria
BG4_TEST_TEST,SHORT_NAME,f,Testdep. BG4,
CH_TEST,NAME,t,Testhospital - Schweiz/Suisse/Svizzera,Testhospital - Switzerland
CH_TEST,SHORT_NAME,f,Testhosp. CH,
CH_TEST_TEST,NAME,t,Testdepartment - Schweiz/Suisse/Svizzera,Testdepartment - Switzerland
CH_TEST_TEST,SHORT_NAME,f,Testdep. CH,
CY_TEST,NAME,t,Testhospital - Κύπρος,Testhospital - Cyprus
CY_TEST,SHORT_NAME,f,Testhosp. CY,
CY_TEST_TEST,NAME,t,Testdepartment - Κύπρος,Testdepartment - Cyprus
CY_TEST_TEST,SHORT_NAME,f,Testdep. CY,
CZ_TEST,NAME,t,Testhospital - Česko,Testhospital - Czech Republic
CZ_TEST,SHORT_NAME,f,Testhosp. CZ,
CZ_TEST_TEST,NAME,t,Testdepartment - Česko,Testdepartment - Czech Republic
CZ_TEST_TEST,SHORT_NAME,f,Testdep. CZ,
DE1,NAME,f,Baden-Württemberg,
DE1,SHORT_NAME,f,Baden-Württemberg,
DE1_TEST,NAME,f,Testhospital - Baden-Württemberg,
DE1_TEST,SHORT_NAME,f,Testhosp. DE1,
DE1_TEST_TEST,NAME,f,Testdepartment - Baden-Württemberg,
DE1_TEST_TEST,SHORT_NAME,f,Testdep. DE1,
DE2,NAME,t,Bayern,Bavaria
DE2,SHORT_NAME,t,Bayern,Bavaria
DE2_TEST,NAME,t,Testhospital - Bayern,Testhospital - Bavaria
DE2_TEST,SHORT_NAME,f,Testhosp. DE2,
DE2_TEST_TEST,NAME,t,Testdepartment - Bayern,Testdepartment - Bavaria
DE2_TEST_TEST,SHORT_NAME,f,Testdep. DE2,
DE3,NAME,f,Berlin,
DE3,SHORT_NAME,f,Berlin,
DE3_TEST,NAME,f,Testhospital - Berlin,
DE3_TEST,SHORT_NAME,f,Testhosp. DE3,
DE3_TEST_TEST,NAME,f,Testdepartment - Berlin,
DE3_TEST_TEST,SHORT_NAME,f,Testdep. DE3,
DE4,NAME,f,Brandenburg,
DE4,SHORT_NAME,f,Brandenburg,
DE4_TEST,NAME,f,Testhospital - Brandenburg,
DE4_TEST,SHORT_NAME,f,Testhosp. DE4,
DE4_TEST_TEST,NAME,f,Testdepartment - Brandenburg,
DE4_TEST_TEST,SHORT_NAME,f,Testdep. DE4,
DE5,NAME,f,Bremen,
DE5,SHORT_NAME,f,Bremen,
DE5_TEST,NAME,f,Testhospital - Bremen,
DE5_TEST,SHORT_NAME,f,Testhosp. DE5,
DE5_TEST_TEST,NAME,f,Testdepartment - Bremen,
DE5_TEST_TEST,SHORT_NAME,f,Testdep. DE5,
DE6,NAME,f,Hamburg,
DE6,SHORT_NAME,f,Hamburg,
DE6_TEST,NAME,f,Testhospital - Hamburg,
DE6_TEST,SHORT_NAME,f,Testhosp. DE6,
DE6_TEST_TEST,NAME,f,Testdepartment - Hamburg,
DE6_TEST_TEST,SHORT_NAME,f,Testdep. DE6,
DE7,NAME,t,Hessen,Hesse
DE7,SHORT_NAME,t,Hessen,Hesse
DE7_TEST,NAME,t,Testhospital - Hessen,Testhospital - Hesse
DE7_TEST,SHORT_NAME,f,Testhosp. DE7,
DE7_TEST_TEST,NAME,t,Testdepartment - Hessen,Testdepartment - Hesse
DE7_TEST_TEST,SHORT_NAME,f,Testdep. DE7,
DE8,NAME,f,Mecklenburg-Vorpommern,
DE8,SHORT_NAME,f,Mecklenburg-Vorpommern,
DE8_TEST,NAME,f,Testhospital - Mecklenburg-Vorpommern,
DE8_TEST,SHORT_NAME,f,Testhosp. DE8,
DE8_TEST_TEST,NAME,f,Testdepartment - Mecklenburg-Vorpommern,
DE8_TEST_TEST,SHORT_NAME,f,Testdep. DE8,
DE9,NAME,t,Niedersachsen,Lower Saxony
DE9,SHORT_NAME,t,Niedersachsen,Lower Saxony
DE9_TEST,NAME,t,Testhospital - Niedersachsen,Testhospital - Lower Saxony
DE9_TEST,SHORT_NAME,f,Testhosp. DE9,
DE9_TEST_TEST,NAME,t,Testdepartment - Niedersachsen,Testdepartment - Lower Saxony
DE9_TEST_TEST,SHORT_NAME,f,Testdep. DE9,
DEA,NAME,t,Nordrhein-Westfalen,North Rhine-Westphalia
DEA,SHORT_NAME,t,Nordrhein-Westfalen,North Rhine-Westphalia
DEA_TEST,NAME,t,Testhospital - Nordrhein-Westfalen,Testhospital - North Rhine-Westphalia
DEA_TEST,SHORT_NAME,f,Testhosp. DEA,
DEA_TEST_TEST,NAME,t,Testdepartment - Nordrhein-Westfalen,Testdepartment - North Rhine-Westphalia
DEA_TEST_TEST,SHORT_NAME,f,Testdep. DEA,
DEB,NAME,t,Rheinland-Pfalz,Rhineland-Palatinate
DEB,SHORT_NAME,t,Rheinland-Pfalz,Rhineland-Palatinate
DEB_TEST,NAME,t,Testhospital - Rheinland-Pfalz,Testhospital - Rhineland-Palatinate
DEB_TEST,SHORT_NAME,f,Testhosp. DEB,
DEB_TEST_TEST,NAME,t,Testdepartment - Rheinland-Pfalz,Testdepartment - Rhineland-Palatinate
DEB_TEST_TEST,SHORT_NAME,f,Testdep. DEB,
DEC,NAME,f,Saarland,
DEC,SHORT_NAME,f,Saarland,
DEC_TEST,NAME,f,Testhospital - Saarland,
DEC_TEST,SHORT_NAME,f,Testhosp. DEC,
DEC_TEST_TEST,NAME,f,Testdepartment - Saarland,
DEC_TEST_TEST,SHORT_NAME,f,Testdep. DEC,
DED,NAME,t,Sachsen,Saxony
DED,SHORT_NAME,t,Sachsen,Saxony
DED_TEST,NAME,t,Testhospital - Sachsen,Testhospital - Saxony
DED_TEST,SHORT_NAME,f,Testhosp. DED,
DED_TEST_TEST,NAME,t,Testdepartment - Sachsen,Testdepartment - Saxony
DED_TEST_TEST,SHORT_NAME,f,Testdep. DED,
DEE,NAME,t,Sachsen-Anhalt,Saxony-Anhalt
DEE,SHORT_NAME,t,Sachsen-Anhalt,Saxony-Anhalt
DEE_TEST,NAME,t,Testhospital - Sachsen-Anhalt,Testhospital - Saxony-Anhalt
DEE_TEST,SHORT_NAME,f,Testhosp. DEE,
DEE_TEST_TEST,NAME,t,Testdepartment - Sachsen-Anhalt,Testdepartment - Saxony-Anhalt
DEE_TEST_TEST,SHORT_NAME,f,Testdep. DEE,
DEF,NAME,f,Schleswig-Holstein,
DEF,SHORT_NAME,f,Schleswig-Holstein,
DEF_TEST,NAME,f,Testhospital - Schleswig-Holstein,
DEF_TEST,SHORT_NAME,f,Testhosp. DEF,
DEF_TEST_TEST,NAME,f,Testdepartment - Schleswig-Holstein,
DEF_TEST_TEST,SHORT_NAME,f,Testdep. DEF,
DEG,NAME,t,Thüringen,Thuringia
DEG,SHORT_NAME,t,Thüringen,Thuringia
DEG_TEST,NAME,t,Testhospital - Thüringen,Testhospital - Thuringia
DEG_TEST,SHORT_NAME,f,Testhosp. DEG,
DEG_TEST_TEST,NAME,t,Testdepartment - Thüringen,Testdepartment - Thuringia
DEG_TEST_TEST,SHORT_NAME,f,Testdep. DEG,
DK_TEST,NAME,t,Testhospital - Danmark,Testhospital - Denmark
DK_TEST,SHORT_NAME,f,Testhosp. DK,
DK_TEST_TEST,NAME,t,Testdepartment - Danmark,Testdepartment - Denmark
DK_TEST_TEST,SHORT_NAME,f,Testdep. DK,
EE_TEST,NAME,t,Testhospital - Eesti,Testhospital - Estonia
EE_TEST,SHORT_NAME,f,Testhosp. EE,
EE_TEST_TEST,NAME,t,Testdepartment - Eesti,Testdepartment - Estonia
EE_TEST_TEST,SHORT_NAME,f,Testdep. EE,
EL3,NAME,t,Αττική [Attiki],Attica
EL3,SHORT_NAME,t,Αττική,Attica
EL3_TEST,NAME,t,Testhospital - Αττική,Testhospital - Attica
EL3_TEST,SHORT_NAME,f,Testhosp. EL3,
EL3_TEST_TEST,NAME,t,Testdepartment - Αττική,Testdepartment - Attica
EL3_TEST_TEST,SHORT_NAME,f,Testdep. EL3,
EL4,NAME,t,"Νησιά Αιγαίου, Κρήτη [Nisia Aigaiou, Kriti]","Nisia Aigaiou, Kriti"
EL4,SHORT_NAME,t,"Νησιά Αιγαίου, Κρήτη","Nisia Aigaiou, Kriti"
EL4_TEST,NAME,t,"Testhospital - Νησιά Αιγαίου, Κρήτη","Testhospital - Nisia Aigaiou, Kriti"
EL4_TEST,SHORT_NAME,f,Testhosp. EL4,
EL4_TEST_TEST,NAME,t,"Testdepartment - Νησιά Αιγαίου, Κρήτη","Testdepartment - Nisia Aigaiou, Kriti"
EL4_TEST_TEST,SHORT_NAME,f,Testdep. EL4,
EL5,NAME,t,Βόρεια Ελλάδα [Voreia Elláda],Voreia Ellada
EL5,SHORT_NAME,t,Βόρεια Ελλάδα,Voreia Ellada
EL5_TEST,NAME,t,Testhospital - Βόρεια Ελλάδα,Testhospital - Voreia Ellada
EL5_TEST,SHORT_NAME,f,Testhosp. EL5,
EL5_TEST_TEST,NAME,t,Testdepartment - Βόρεια Ελλάδα,Testdepartment - Voreia Ellada
EL5_TEST_TEST,SHORT_NAME,f,Testdep. EL5,
EL6,NAME,t,Κεντρική Ελλάδα [Kentriki Elláda],Kentriki Ellada
EL6,SHORT_NAME,t,Κεντρική Ελλάδα,Kentriki Ellada
EL6_TEST,NAME,t,Testhospital - Κεντρική Ελλάδα,Testhospital - Kentriki Ellada
EL6_TEST,SHORT_NAME,f,Testhosp. EL6,
EL6_TEST_TEST,NAME,t,Testdepartment - Κεντρική Ελλάδα,Testdepartment - Kentriki Ellada
EL6_TEST_TEST,SHORT_NAME,f,Testdep. EL6,
ES1,NAME,t,Noroeste,North West
ES1,SHORT_NAME,t,Noroeste,North West
ES1_TEST,NAME,t,Testhospital - Noroeste,Testhospital - North West
ES1_TEST,SHORT_NAME,f,Testhosp. ES1,
ES1_TEST_TEST,NAME,t,Testdepartment - Noroeste,Testdepartment - North West
ES1_TEST_TEST,SHORT_NAME,f,Testdep. ES1,
ES2,NAME,t,Noreste,North East
ES2,SHORT_NAME,t,Noreste,North East
ES2_TEST,NAME,t,Testhospital - Noreste,Testhospital - North East
ES2_TEST,SHORT_NAME,f,Testhosp. ES2,
ES2_TEST_TEST,NAME,t,Testdepartment - Noreste,Testdepartment - North East
ES2_TEST_TEST,SHORT_NAME,f,Testdep. ES2,
ES3,NAME,t,Comunidad de Madrid,Community of Madrid
ES3,SHORT_NAME,t,Comunidad de Madrid,Community of Madrid
ES3_TEST,NAME,t,Testhospital - Comunidad de Madrid,Testhospital - Community of Madrid
ES3_TEST,SHORT_NAME,f,Testhosp. ES3,
ES3_TEST_TEST,NAME,t,Testdepartment - Comunidad de Madrid,Testdepartment - Community of Madrid
ES3_TEST_TEST,SHORT_NAME,f,Testdep. ES3,
ES4,NAME,t,Centro (ES),Centre
ES4,SHORT_NAME,t,Centro (ES),Centre
ES4_TEST,NAME,t,Testhospital - Centro (ES),Testhospital - Centre
ES4_TEST,SHORT_NAME,f,Testhosp. ES4,
ES4_TEST_TEST,NAME,t,Testdepartment - Centro (ES),Testdepartment - Centre
ES4_TEST_TEST,SHORT_NAME,f,Testdep. ES4,
ES5,NAME,t,Este,East
ES5,SHORT_NAME,t,Este,East
ES5_TEST,NAME,t,Testhospital - Este,Testhospital - East
ES5_TEST,SHORT_NAME,f,Testhosp. ES5,
ES5_TEST_TEST,NAME,t,Testdepartment - Este,Testdepartment - East
ES5_TEST_TEST,SHORT_NAME,f,Testdep. ES5,
ES6,NAME,t,Sur,South
ES6,SHORT_NAME,t,Sur,South
ES6_TEST,NAME,t,Testhospital - Sur,Testhospital - South
ES6_TEST,SHORT_NAME,f,Testhosp. ES6,
ES6_TEST_TEST,NAME,t,Testdepartment - Sur,Testdepartment - South
ES6_TEST_TEST,SHORT_NAME,f,Testdep. ES6,
ES7,NAME,t,Canarias,Canary Islands
ES7,SHORT_NAME,t,Canarias,Canary Islands
ES7_TEST,NAME,t,Testhospital - Canarias,Testhospital - Canary Islands
ES7_TEST,SHORT_NAME,f,Testhosp. ES7,
ES7_TEST_TEST,NAME,t,Testdepartment - Canarias,Testdepartment - Canary Islands
ES7_TEST_TEST,SHORT_NAME,f,Testdep. ES7,
FI1,NAME,t,Manner-Suomi,Mainland Finland
FI1,SHORT_NAME,t,Manner-Suomi,Mainland Finland
FI1_TEST,NAME,t,Testhospital - Manner-Suomi,Testhospital - Mainland Finland
FI1_TEST,SHORT_NAME,f,Testhosp. FI1,
FI1_TEST_TEST,NAME,t,Testdepartment - Manner-Suomi,Testdepartment - Mainland Finland
FI1_TEST_TEST,SHORT_NAME,f,Testdep. FI1,
FI2,NAME,f,Åland,
FI2,SHORT_NAME,f,Åland,
FI2_TEST,NAME,f,Testhospital - Åland,
FI2_TEST,SHORT_NAME,f,Testhosp. FI2,
FI2_TEST_TEST,NAME,f,Testdepartment - Åland,
FI2_TEST_TEST,SHORT_NAME,f,Testdep. FI2,
FR1,NAME,f,Ile-de-France,
FR1,SHORT_NAME,f,Ile-de-France,
FR1_TEST,NAME,f,Testhospital - Île-de-France,
FR1_TEST,SHORT_NAME,f,Testhosp. FR1,
FR1_TEST_TEST,NAME,f,Testdepartment - Île-de-France,
FR1_TEST_TEST,SHORT_NAME,f,Testdep. FR1,
FRB,NAME,f,Centre — Val de Loire,
FRB,SHORT_NAME,f,Centre — Val de Loire,
FRB_TEST,NAME,f,Testhospital - Centre — Val de Loire,
FRB_TEST,SHORT_NAME,f,Testhosp. FRB,
FRB_TEST_TEST,NAME,f,Testdepartment - Centre — Val de Loire,
FRB_TEST_TEST,SHORT_NAME,f,Testdep. FRB,
FRC,NAME,f,Bourgogne-Franche-Comté,
FRC,SHORT_NAME,f,Bourgogne-Franche-Comté,
FRC_TEST,NAME,f,Testhospital - Bourgogne-Franche-Comté,
FRC_TEST,SHORT_NAME,f,Testhosp. FRC,
FRC_TEST_TEST,NAME,f,Testdepartment - Bourgogne-Franche-Comté,
FRC_TEST_TEST,SHORT_NAME,f,Testdep. FRC,
FRD,NAME,t,Normandie,Normandy
FRD,SHORT_NAME,t,Normandie,Normandy
FRD_TEST,NAME,t,Testhospital - Normandie,Testhospital - Normandy
FRD_TEST,SHORT_NAME,f,Testhosp. FRD,
FRD_TEST_TEST,NAME,t,Testdepartment - Normandie,Testdepartment - Normandy
FRD_TEST_TEST,SHORT_NAME,f,Testdep. FRD,
FRE,NAME,f,Hauts-de-France,
FRE,SHORT_NAME,f,Hauts-de-France,
FRE_TEST,NAME,f,Testhospital - Hauts-de-France,
FRE_TEST,SHORT_NAME,f,Testhosp. FRE,
FRE_TEST_TEST,NAME,f,Testdepartment - Hauts-de-France,
FRE_TEST_TEST,SHORT_NAME,f,Testdep. FRE,
FRF,NAME,f,Grand Est,
FRF,SHORT_NAME,f,Grand Est,
FRF_TEST,NAME,f,Testhospital - Grand Est,
FRF_TEST,SHORT_NAME,f,Testhosp. FRF,
FRF_TEST_TEST,NAME,f,Testdepartment - Grand Est,
FRF_TEST_TEST,SHORT_NAME,f,Testdep. FRF,
FRG,NAME,f,Pays de la Loire,
FRG,SHORT_NAME,f,Pays de la Loire,
FRG_TEST,NAME,f,Testhospital - Pays de la Loire,
FRG_TEST,SHORT_NAME,f,Testhosp. FRG,
FRG_TEST_TEST,NAME,f,Testdepartment - Pays de la Loire,
FRG_TEST_TEST,SHORT_NAME,f,Testdep. FRG,
FRH,NAME,t,Bretagne,Brittany
FRH,SHORT_NAME,t,Bretagne,Brittany
FRH_TEST,NAME,t,Testhospital - Bretagne,Testhospital - Brittany
FRH_TEST,SHORT_NAME,f,Testhosp. FRH,
FRH_TEST_TEST,NAME,t,Testdepartment - Bretagne,Testdepartment - Brittany
FRH_TEST_TEST,SHORT_NAME,f,Testdep. FRH,
FRI,NAME,f,Nouvelle-Aquitaine,
FRI,SHORT_NAME,f,Nouvelle-Aquitaine,
FRI_TEST,NAME,f,Testhospital - Nouvelle-Aquitaine,
FRI_TEST,SHORT_NAME,f,Testhosp. FRI,
FRI_TEST_TEST,NAME,f,Testdepartment - Nouvelle-Aquitaine,
FRI_TEST_TEST,SHORT_NAME,f,Testdep. FRI,
FRJ,NAME,f,Occitanie,
FRJ,SHORT_NAME,f,Occitanie,
FRJ_TEST,NAME,f,Testhospital - Occitanie,
FRJ_TEST,SHORT_NAME,f,Testhosp. FRJ,
FRJ_TEST_TEST,NAME,f,Testdepartment - Occitanie,
FRJ_TEST_TEST,SHORT_NAME,f,Testdep. FRJ,
FRK,NAME,f,Auvergne-Rhône-Alpes,
FRK,SHORT_NAME,f,Auvergne-Rhône-Alpes,
FRK_TEST,NAME,f,Testhospital - Auvergne-Rhône-Alpes,
FRK_TEST,SHORT_NAME,f,Testhosp. FRK,
FRK_TEST_TEST,NAME,f,Testdepartment - Auvergne-Rhône-Alpes,
FRK_TEST_TEST,SHORT_NAME,f,Testdep. FRK,
FRL,NAME,f,Provence-Alpes-Côte d’Azur,
FRL,SHORT_NAME,f,Provence-Alpes-Côte d’Azur,
FRL_TEST,NAME,f,Testhospital - Provence-Alpes-Côte d’Azur,
FRL_TEST,SHORT_NAME,f,Testhosp. FRL,
FRL_TEST_TEST,NAME,f,Testdepartment - Provence-Alpes-Côte d’Azur,
FRL_TEST_TEST,SHORT_NAME,f,Testdep. FRL,
FRM,NAME,t,Corse,Corsica
FRM,SHORT_NAME,t,Corse,Corsica
FRM_TEST,NAME,t,Testhospital - Corse,Testhospital - Corsica
FRM_TEST,SHORT_NAME,f,Testhosp. FRM,
FRM_TEST_TEST,NAME,t,Testdepartment - Corse,Testdepartment - Corsica
FRM_TEST_TEST,SHORT_NAME,f,Testdep. FRM,
FRY,NAME,t,RUP FR — Régions Ultrapériphériques Françaises,Overseas departments and regions
FRY,SHORT_NAME,t,RUP FR — Régions Ultrapériphériques Françaises,Overseas departments and regions
FRY_TEST,NAME,t,Testhospital - RUP FR — Régions Ultrapériphériques Françaises,Testhospital - Overseas departments and regions
FRY_TEST,SHORT_NAME,f,Testhosp. FRY,
FRY_TEST_TEST,NAME,t,Testdepartment - RUP FR — Régions Ultrapériphériques Françaises,Testdepartment - Overseas departments and regions
FRY_TEST_TEST,SHORT_NAME,f,Testdep. FRY,
HR_TEST,NAME,t,Testhospital - Hrvatska,Testhospital - Croatia
HR_TEST,SHORT_NAME,f,Testhosp. HR,
HR_TEST_TEST,NAME,t,Testdepartment - Hrvatska,Testdepartment - Croatia
HR_TEST_TEST,SHORT_NAME,f,Testdep. HR,
HU1,NAME,t,Közép-Magyarország,Central Hungary
HU1,SHORT_NAME,t,Közép-Magyarország,Central Hungary
HU1_TEST,NAME,t,Testhospital - Közép-Magyarország,Testhospital - Central Hungary
HU1_TEST,SHORT_NAME,f,Testhosp. HU1,
HU1_TEST_TEST,NAME,t,Testdepartment - Közép-Magyarország,Testdepartment - Central Hungary
HU1_TEST_TEST,SHORT_NAME,f,Testdep. HU1,
HU2,NAME,t,Dunántúl,Transdanubia
HU2,SHORT_NAME,t,Dunántúl,Transdanubia
HU2_TEST,NAME,t,Testhospital - Dunántúl,Testhospital - Transdanubia
HU2_TEST,SHORT_NAME,f,Testhosp. HU2,
HU2_TEST_TEST,NAME,t,Testdepartment - Dunántúl,Testdepartment - Transdanubia
HU2_TEST_TEST,SHORT_NAME,f,Testdep. HU2,
HU3,NAME,t,Alföld és Észak,Great Plain and North
HU3,SHORT_NAME,t,Alföld és Észak,Great Plain and North
HU3_TEST,NAME,t,Testhospital - Alföld és Észak,Testhospital - Great Plain and North
HU3_TEST,SHORT_NAME,f,Testhosp. HU3,
HU3_TEST_TEST,NAME,t,Testdepartment - Alföld és Észak,Testdepartment - Great Plain and North
HU3_TEST_TEST,SHORT_NAME,f,Testdep. HU3,
IE_TEST,NAME,f,Testhospital - Ireland,
IE_TEST,SHORT_NAME,f,Testhosp. IE,
IE_TEST_TEST,NAME,f,Testdepartment - Ireland,
IE_TEST_TEST,SHORT_NAME,f,Testdep. IE,
IS_TEST,NAME,t,Testhospital - Ísland,Testhospital - Iceland
IS_TEST,SHORT_NAME,f,Testhosp. IS,
IS_TEST_TEST,NAME,t,Testdepartment - Ísland,Testdepartment - Iceland
IS_TEST_TEST,SHORT_NAME,f,Testdep. IS,
ITC,NAME,t,Nord-Ovest,North West
ITC,SHORT_NAME,t,Nord-Ovest,North West
ITC_TEST,NAME,t,Testhospital - Nord-Ovest,Testhospital - North West
ITC_TEST,SHORT_NAME,f,Testhosp. ITC,
ITC_TEST_TEST,NAME,t,Testdepartment - Nord-Ovest,Testdepartment - North West
ITC_TEST_TEST,SHORT_NAME,f,Testdep. ITC,
ITF,NAME,t,Sud,South
ITF,SHORT_NAME,t,Sud,South
ITF_TEST,NAME,t,Testhospital - Sud,Testhospital - South
ITF_TEST,SHORT_NAME,f,Testhosp. ITF,
ITF_TEST_TEST,NAME,t,Testdepartment - Sud,Testdepartment - South
ITF_TEST_TEST,SHORT_NAME,f,Testdep. ITF,
ITG,NAME,t,Isole,Islands
ITG,SHORT_NAME,t,Isole,Islands
ITG_TEST,NAME,t,Testhospital - Isole,Testhospital - Islands
ITG_TEST,SHORT_NAME,f,Testhosp. ITG,
ITG_TEST_TEST,NAME,t,Testdepartment - Isole,Testdepartment - Islands
ITG_TEST_TEST,SHORT_NAME,f,Testdep. ITG,
ITH,NAME,t,Nord-Est,North East
ITH,SHORT_NAME,t,Nord-Est,North East
ITH_TEST,NAME,t,Testhospital - Nord-Est,Testhospital - North East
ITH_TEST,SHORT_NAME,f,Testhosp. ITH,
ITH_TEST_TEST,NAME,t,Testdepartment - Nord-Est,Testdepartment - North East
ITH_TEST_TEST,SHORT_NAME,f,Testdep. ITH,
ITI,NAME,t,Centro (IT),Centre
ITI,SHORT_NAME,t,Centro (IT),Centre
ITI_TEST,NAME,t,Testhospital - Centro (IT),Testhospital - Centre
ITI_TEST,SHORT_NAME,f,Testhosp. ITI,
ITI_TEST_TEST,NAME,t,Testdepartment - Centro (IT),Testdepartment - Centre
ITI_TEST_TEST,SHORT_NAME,f,Testdep. ITI,
LI_TEST,NAME,f,Testhospital - Liechtenstein,
LI_TEST,SHORT_NAME,f,Testhosp. LI,
LI_TEST_TEST,NAME,f,Testdepartment - Liechtenstein,
LI_TEST_TEST,SHORT_NAME,f,Testdep. LI,
LT_TEST,NAME,t,Testhospital - Lietuva,Testhospital - Lithuania
LT_TEST,SHORT_NAME,f,Testhosp. LT,
LT_TEST_TEST,NAME,t,Testdepartment - Lietuva,Testdepartment - Lithuania
LT_TEST_TEST,SHORT_NAME,f,Testdep. LT,
LU_TEST,NAME,f,Testhospital - Luxembourg,
LU_TEST,SHORT_NAME,f,Testhosp. LU,
LU_TEST_TEST,NAME,f,Testdepartment - Luxembourg,
LU_TEST_TEST,SHORT_NAME,f,Testdep. LU,
LV_TEST,NAME,t,Testhospital - Latvija,Testhospital - Latvia
LV_TEST,SHORT_NAME,f,Testhosp. LV,
LV_TEST_TEST,NAME,t,Testdepartment - Latvija,Testdepartment - Latvia
LV_TEST_TEST,SHORT_NAME,f,Testdep. LV,
ME_TEST,NAME,t,Testhospital - Црна Гора,Testhospital - Montenegro
ME_TEST,SHORT_NAME,f,Testhosp. ME,
ME_TEST_TEST,NAME,t,Testdepartment - Црна Гора,Testdepartment - Montenegro
ME_TEST_TEST,SHORT_NAME,f,Testdep. ME,
MK_TEST,NAME,t,Testhospital - Северна Македонија,Testhospital - North Macedonia
MK_TEST,SHORT_NAME,f,Testhosp. MK,
MK_TEST_TEST,NAME,t,Testdepartment - Северна Македонија,Testdepartment - North Macedonia
MK_TEST_TEST,SHORT_NAME,f,Testdep. MK,
MT_TEST,NAME,f,Testhospital - Malta,
MT_TEST,SHORT_NAME,f,Testhosp. MT,
MT_TEST_TEST,NAME,f,Testdepartment - Malta,
MT_TEST_TEST,SHORT_NAME,f,Testdep. MT,
