code,property,needs_translation,default,translated
BE1_TEST_TEST,SHORT_NAME,t,Testdep. BE1,Testabt. BE1
BE2,NAME,t,Vlaams Gewest,Flämische Region
BE2,SHORT_NAME,t,Vlaams Gewest,Flämische Region
BE2_TEST,NAME,t,Testhospital - Vlaams Gewest,Testkrankenhaus - Flämische Region
BE2_TEST,SHORT_NAME,t,Testhosp. BE2,Testkrh. BE2
BE2_TEST_TEST,NAME,t,Testdepartment - Vlaams Gewest,Testabteilung - Flämische Region
BE2_TEST_TEST,SHORT_NAME,t,Testdep. BE2,Testabt. BE2
BE3,NAME,t,Région wallonne,Wallonische Region
BE3,SHORT_NAME,t,Région wallonne,Wallonische Region
BE3_TEST,NAME,t,Testhospital - Région wallonne,Testkrankenhaus - Wallonische Region
BE3_TEST,SHORT_NAME,t,Testhosp. BE3,Testkrh. BE3
BE3_TEST_TEST,NAME,t,Testdepartment - Région wallonne,Testabteilung - Wallonische Region
BE3_TEST_TEST,SHORT_NAME,t,Testdep. BE3,Testabt. BE3
BG3,NAME,t,Северна и Югоизточна България [Severna i Yugoiztochna Bulgaria],Nord- und Südostbulgarien
BG3,SHORT_NAME,t,Северна и Югоизточна България,Nord- und Südostbulgarien
BG3_TEST,NAME,t,Testhospital - Северна и Югоизточна България,Testkrankenhaus - Nord- und Südostbulgarien
BG3_TEST,SHORT_NAME,t,Testhosp. BG3,Testkrh. BG3
BG3_TEST_TEST,NAME,t,Testdepartment - Северна и Югоизточна България,Testabteilung - Nord- und Südostbulgarien
BG3_TEST_TEST,SHORT_NAME,t,Testdep. BG3,Testabt. BG3
BG4,NAME,t,Югозападна и Южна централна България [Yugozapadna i Yuzhna tsentralna Bulgaria],Südwest- und Südzentralbulgarien
BG4,SHORT_NAME,t,Югозападна и Южна централна България,Südwest- und Südzentralbulgarien
BG4_TEST,NAME,t,Testhospital - Югозападна и Южна централна България,Testkrankenhaus - Südwest- und Südzentralbulgarien
BG4_TEST,SHORT_NAME,t,Testhosp. BG4,Testkrh. BG4
BG4_TEST_TEST,NAME,t,Testdepartment - Югозападна и Южна централна България,Testabteilung - Südwest- und Südzentralbulgarien
BG4_TEST_TEST,SHORT_NAME,t,Testdep. BG4,Testabt. BG4
CH_TEST,NAME,t,Testhospital - Schweiz/Suisse/Svizzera,Testkrankenhaus - Schweiz
CH_TEST,SHORT_NAME,t,Testhosp. CH,Testkrh. CH
CH_TEST_TEST,NAME,t,Testdepartment - Schweiz/Suisse/Svizzera,Testabteilung - Schweiz
CH_TEST_TEST,SHORT_NAME,t,Testdep. CH,Testabt. CH
CY_TEST,NAME,t,Testhospital - Κύπρος,Testkrankenhaus - Zypern
CY_TEST,SHORT_NAME,t,Testhosp. CY,Testkrh. CY
CY_TEST_TEST,NAME,t,Testdepartment - Κύπρος,Testabteilung - Zypern
CY_TEST_TEST,SHORT_NAME,t,Testdep. CY,Testabt. CY
CZ_TEST,NAME,t,Testhospital - Česko,Testkrankenhaus - Tschechien
CZ_TEST,SHORT_NAME,t,Testhosp. CZ,Testkrh. CZ
CZ_TEST_TEST,NAME,t,Testdepartment - Česko,Testabteilung - Tschechien
CZ_TEST_TEST,SHORT_NAME,t,Testdep. CZ,Testabt. CZ
DE1,NAME,f,Baden-Württemberg,
DE1,SHORT_NAME,f,Baden-Württemberg,
DE1_TEST,NAME,t,Testhospital - Baden-Württemberg,Testkrankenhaus - Baden-Württemberg
DE1_TEST,SHORT_NAME,t,Testhosp. DE1,Testkrh. DE1
DE1_TEST_TEST,NAME,t,Testdepartment - Baden-Württemberg,Testabteilung - Baden-Württemberg
DE1_TEST_TEST,SHORT_NAME,t,Testdep. DE1,Testabt. DE1
DE2,NAME,f,Bayern,
DE2,SHORT_NAME,f,Bayern,
DE2_TEST,NAME,t,Testhospital - Bayern,Testkrankenhaus - Bayern
DE2_TEST,SHORT_NAME,t,Testhosp. DE2,Testkrh. DE2
DE2_TEST_TEST,NAME,t,Testdepartment - Bayern,Testabteilung - Bayern
DE2_TEST_TEST,SHORT_NAME,t,Testdep. DE2,Testabt. DE2
DE3,NAME,f,Berlin,
DE3,SHORT_NAME,f,Berlin,
DE3_TEST,NAME,t,Testhospital - Berlin,Testkrankenhaus - Berlin
DE3_TEST,SHORT_NAME,t,Testhosp. DE3,Testkrh. DE3
DE3_TEST_TEST,NAME,t,Testdepartment - Berlin,Testabteilung - Berlin
DE3_TEST_TEST,SHORT_NAME,t,Testdep. DE3,Testabt. DE3
DE4,NAME,f,Brandenburg,
DE4,SHORT_NAME,f,Brandenburg,
DE4_TEST,NAME,t,Testhospital - Brandenburg,Testkrankenhaus - Brandenburg
DE4_TEST,SHORT_NAME,t,Testhosp. DE4,Testkrh. DE4
DE4_TEST_TEST,NAME,t,Testdepartment - Brandenburg,Testabteilung - Brandenburg
DE4_TEST_TEST,SHORT_NAME,t,Testdep. DE4,Testabt. DE4
DE5,NAME,f,Bremen,
DE5,SHORT_NAME,f,Bremen,
DE5_TEST,NAME,t,Testhospital - Bremen,Testkrankenhaus - Bremen
DE5_TEST,SHORT_NAME,t,Testhosp. DE5,Testkrh. DE5
DE5_TEST_TEST,NAME,t,Testdepartment - Bremen,Testabteilung - Bremen
DE5_TEST_TEST,SHORT_NAME,t,Testdep. DE5,Testabt. DE5
DE6,NAME,f,Hamburg,
DE6,SHORT_NAME,f,Hamburg,
DE6_TEST,NAME,t,Testhospital - Hamburg,Testkrankenhaus - Hamburg
DE6_TEST,SHORT_NAME,t,Testhosp. DE6,Testkrh. DE6
DE6_TEST_TEST,NAME,t,Testdepartment - Hamburg,Testabteilung - Hamburg
DE6_TEST_TEST,SHORT_NAME,t,Testdep. DE6,Testabt. DE6
DE7,NAME,f,Hessen,
DE7,SHORT_NAME,f,Hessen,
DE7_TEST,NAME,t,Testhospital - Hessen,Testkrankenhaus - Hessen
DE7_TEST,SHORT_NAME,t,Testhosp. DE7,Testkrh. DE7
DE7_TEST_TEST,NAME,t,Testdepartment - Hessen,Testabteilung - Hessen
DE7_TEST_TEST,SHORT_NAME,t,Testdep. DE7,Testabt. DE7
DE8,NAME,f,Mecklenburg-Vorpommern,
DE8,SHORT_NAME,f,Mecklenburg-Vorpommern,
DE8_TEST,NAME,t,Testhospital - Mecklenburg-Vorpommern,Testkrankenhaus - Mecklenburg-Vorpommern
DE8_TEST,SHORT_NAME,t,Testhosp. DE8,Testkrh. DE8
DE8_TEST_TEST,NAME,t,Testdepartment - Mecklenburg-Vorpommern,Testabteilung - Mecklenburg-Vorpommern
DE8_TEST_TEST,SHORT_NAME,t,Testdep. DE8,Testabt. DE8
DE9,NAME,f,Niedersachsen,
DE9,SHORT_NAME,f,Niedersachsen,
DE9_TEST,NAME,t,Testhospital - Niedersachsen,Testkrankenhaus - Niedersachsen
DE9_TEST,SHORT_NAME,t,Testhosp. DE9,Testkrh. DE9
DE9_TEST_TEST,NAME,t,Testdepartment - Niedersachsen,Testabteilung - Niedersachsen
DE9_TEST_TEST,SHORT_NAME,t,Testdep. DE9,Testabt. DE9
DEA,NAME,f,Nordrhein-Westfalen,
DEA,SHORT_NAME,f,Nordrhein-Westfalen,
DEA_TEST,NAME,t,Testhospital - Nordrhein-Westfalen,Testkrankenhaus - Nordrhein-Westfalen
DEA_TEST,SHORT_NAME,t,Testhosp. DEA,Testkrh. DEA
DEA_TEST_TEST,NAME,t,Testdepartment - Nordrhein-Westfalen,Testabteilung - Nordrhein-Westfalen
DEA_TEST_TEST,SHORT_NAME,t,Testdep. DEA,Testabt. DEA
DEB,NAME,f,Rheinland-Pfalz,
DEB,SHORT_NAME,f,Rheinland-Pfalz,
DEB_TEST,NAME,t,Testhospital - Rheinland-Pfalz,Testkrankenhaus - Rheinland-Pfalz
DEB_TEST,SHORT_NAME,t,Testhosp. DEB,Testkrh. DEB
DEB_TEST_TEST,NAME,t,Testdepartment - Rheinland-Pfalz,Testabteilung - Rheinland-Pfalz
DEB_TEST_TEST,SHORT_NAME,t,Testdep. DEB,Testabt. DEB
DEC,NAME,f,Saarland,
DEC,SHORT_NAME,f,Saarland,
DEC_TEST,NAME,t,Testhospital - Saarland,Testkrankenhaus - Saarland
DEC_TEST,SHORT_NAME,t,Testhosp. DEC,Testkrh. DEC
DEC_TEST_TEST,NAME,t,Testdepartment - Saarland,Testabteilung - Saarland
DEC_TEST_TEST,SHORT_NAME,t,Testdep. DEC,Testabt. DEC
DED,NAME,f,Sachsen,
DED,SHORT_NAME,f,Sachsen,
DED_TEST,NAME,t,Testhospital - Sachsen,Testkrankenhaus - Sachsen
DED_TEST,SHORT_NAME,t,Testhosp. DED,Testkrh. DED
DED_TEST_TEST,NAME,t,Testdepartment - Sachsen,Testabteilung - Sachsen
DED_TEST_TEST,SHORT_NAME,t,Testdep. DED,Testabt. DED
DEE,NAME,f,Sachsen-Anhalt,
DEE,SHORT_NAME,f,Sachsen-Anhalt,
DEE_TEST,NAME,t,Testhospital - Sachsen-Anhalt,Testkrankenhaus - Sachsen-Anhalt
DEE_TEST,SHORT_NAME,t,Testhosp. DEE,Testkrh. DEE
DEE_TEST_TEST,NAME,t,Testdepartment - Sachsen-Anhalt,Testabteilung - Sachsen-Anhalt
DEE_TEST_TEST,SHORT_NAME,t,Testdep. DEE,Testabt. DEE
DEF,NAME,f,Schleswig-Holstein,
DEF,SHORT_NAME,f,Schleswig-Holstein,
DEF_TEST,NAME,t,Testhospital - Schleswig-Holstein,Testkrankenhaus - Schleswig-Holstein
DEF_TEST,SHORT_NAME,t,Testhosp. DEF,Testkrh. DEF
DEF_TEST_TEST,NAME,t,Testdepartment - Schleswig-Holstein,Testabteilung - Schleswig-Holstein
DEF_TEST_TEST,SHORT_NAME,t,Testdep. DEF,Testabt. DEF
DEG,NAME,f,Thüringen,
DEG,SHORT_NAME,f,Thüringen,
DEG_TEST,NAME,t,Testhospital - Thüringen,Testkrankenhaus - Thüringen
DEG_TEST,SHORT_NAME,t,Testhosp. DEG,Testkrh. DEG
DEG_TEST_TEST,NAME,t,Testdepartment - Thüringen,Testabteilung - Thüringen
DEG_TEST_TEST,SHORT_NAME,t,Testdep. DEG,Testabt. DEG
DK_TEST,NAME,t,Testhospital - Danmark,Testkrankenhaus - Dänemark
DK_TEST,SHORT_NAME,t,Testhosp. DK,Testkrh. DK
DK_TEST_TEST,NAME,t,Testdepartment - Danmark,Testabteilung - Dänemark
DK_TEST_TEST,SHORT_NAME,t,Testdep. DK,Testabt. DK
EE_TEST,NAME,t,Testhospital - Eesti,Testkrankenhaus - Estland
EE_TEST,SHORT_NAME,t,Testhosp. EE,Testkrh. EE
EE_TEST_TEST,NAME,t,Testdepartment - Eesti,Testabteilung - Estland
EE_TEST_TEST,SHORT_NAME,t,Testdep. EE,Testabt. EE
EL3,NAME,t,Αττική [Attiki],Attika
EL3,SHORT_NAME,t,Αττική,Attika
EL3_TEST,NAME,t,Testhospital - Αττική,Testkrankenhaus - Attika
EL3_TEST,SHORT_NAME,t,Testhosp. EL3,Testkrh. EL3
EL3_TEST_TEST,NAME,t,Testdepartment - Αττική,Testabteilung - Attika
EL3_TEST_TEST,SHORT_NAME,t,Testdep. EL3,Testabt. EL3
EL4,NAME,t,"Νησιά Αιγαίου, Κρήτη [Nisia Aigaiou, Kriti]","Ägaische Inseln, Kreta"
EL4,SHORT_NAME,t,"Νησιά Αιγαίου, Κρήτη","Ägaische Inseln, Kreta"
EL4_TEST,NAME,t,"Testhospital - Νησιά Αιγαίου, Κρήτη","Testkrankenhaus - Ägaische Inseln, Kreta"
EL4_TEST,SHORT_NAME,t,Testhosp. EL4,Testkrh. EL4
EL4_TEST_TEST,NAME,t,"Testdepartment - Νησιά Αιγαίου, Κρήτη","Testabteilung - Ägaische Inseln, Kreta"
EL4_TEST_TEST,SHORT_NAME,t,Testdep. EL4,Testabt. EL4
EL5,NAME,t,Βόρεια Ελλάδα [Voreia Elláda],Nordgriechenland
EL5,SHORT_NAME,t,Βόρεια Ελλάδα,Nordgriechenland
EL5_TEST,NAME,t,Testhospital - Βόρεια Ελλάδα,Testkrankenhaus - Nordgriechenland
EL5_TEST,SHORT_NAME,t,Testhosp. EL5,Testkrh. EL5
EL5_TEST_TEST,NAME,t,Testdepartment - Βόρεια Ελλάδα,Testabteilung - Nordgriechenland
EL5_TEST_TEST,SHORT_NAME,t,Testdep. EL5,Testabt. EL5
EL6,NAME,t,Κεντρική Ελλάδα [Kentriki Elláda],Zentralgriechenland
EL6,SHORT_NAME,t,Κεντρική Ελλάδα,Zentralgriechenland
EL6_TEST,NAME,t,Testhospital - Κεντρική Ελλάδα,Testkrankenhaus - Zentralgriechenland
EL6_TEST,SHORT_NAME,t,Testhosp. EL6,Testkrh. EL6
EL6_TEST_TEST,NAME,t,Testdepartment - Κεντρική Ελλάδα,Testabteilung - Zentralgriechenland
EL6_TEST_TEST,SHORT_NAME,t,Testdep. EL6,Testabt. EL6
ES1,NAME,t,Noroeste,Nordwesten
ES1,SHORT_NAME,t,Noroeste,Nordwesten
ES1_TEST,NAME,t,Testhospital - Noroeste,Testkrankenhaus - Nordwesten
ES1_TEST,SHORT_NAME,t,Testhosp. ES1,Testkrh. ES1
ES1_TEST_TEST,NAME,t,Testdepartment - Noroeste,Testabteilung - Nordwesten
ES1_TEST_TEST,SHORT_NAME,t,Testdep. ES1,Testabt. ES1
ES2,NAME,t,Noreste,Nordosten
ES2,SHORT_NAME,t,Noreste,Nordosten
ES2_TEST,NAME,t,Testhospital - Noreste,Testkrankenhaus - Nordosten
ES2_TEST,SHORT_NAME,t,Testhosp. ES2,Testkrh. ES2
ES2_TEST_TEST,NAME,t,Testdepartment - Noreste,Testabteilung - Nordosten
ES2_TEST_TEST,SHORT_NAME,t,Testdep. ES2,Testabt. ES2
ES3,NAME,t,Comunidad de Madrid,Autonome Gemeinschaft Madrid
ES3,SHORT_NAME,t,Comunidad de Madrid,Autonome Gemeinschaft Madrid
ES3_TEST,NAME,t,Testhospital - Comunidad de Madrid,Testkrankenhaus - Autonome Gemeinschaft Madrid
ES3_TEST,SHORT_NAME,t,Testhosp. ES3,Testkrh. ES3
ES3_TEST_TEST,NAME,t,Testdepartment - Comunidad de Madrid,Testabteilung - Autonome Gemeinschaft Madrid
ES3_TEST_TEST,SHORT_NAME,t,Testdep. ES3,Testabt. ES3
ES4,NAME,t,Centro (ES),Zentrum
ES4,SHORT_NAME,t,Centro (ES),Zentrum
ES4_TEST,NAME,t,Testhospital - Centro (ES),Testkrankenhaus - Zentrum
ES4_TEST,SHORT_NAME,t,Testhosp. ES4,Testkrh. ES4
ES4_TEST_TEST,NAME,t,Testdepartment - Centro (ES),Testabteilung - Zentrum
ES4_TEST_TEST,SHORT_NAME,t,Testdep. ES4,Testabt. ES4
ES5,NAME,t,Este,Osten
ES5,SHORT_NAME,t,Este,Osten
ES5_TEST,NAME,t,Testhospital - Este,Testkrankenhaus - Osten
ES5_TEST,SHORT_NAME,t,Testhosp. ES5,Testkrh. ES5
ES5_TEST_TEST,NAME,t,Testdepartment - Este,Testabteilung - Osten
ES5_TEST_TEST,SHORT_NAME,t,Testdep. ES5,Testabt. ES5
ES6,NAME,t,Sur,Süden
ES6,SHORT_NAME,t,Sur,Süden
ES6_TEST,NAME,t,Testhospital - Sur,Testkrankenhaus - Süden
ES6_TEST,SHORT_NAME,t,Testhosp. ES6,Testkrh. ES6
ES6_TEST_TEST,NAME,t,Testdepartment - Sur,Testabteilung - Süden
ES6_TEST_TEST,SHORT_NAME,t,Testdep. ES6,Testabt. ES6
ES7,NAME,t,Canarias,Kanaren
ES7,SHORT_NAME,t,Canarias,Kanaren
ES7_TEST,NAME,t,Testhospital - Canarias,Testkrankenhaus - Kanaren
ES7_TEST,SHORT_NAME,t,Testhosp. ES7,Testkrh. ES7
ES7_TEST_TEST,NAME,t,Testdepartment - Canarias,Testabteilung - Kanaren
ES7_TEST_TEST,SHORT_NAME,t,Testdep. ES7,Testabt. ES7
FI1,NAME,t,Manner-Suomi,Festländisches Finnland
FI1,SHORT_NAME,t,Manner-Suomi,Festländisches Finnland
FI1_TEST,NAME,t,Testhospital - Manner-Suomi,Testkrankenhaus - Festländisches Finnland
FI1_TEST,SHORT_NAME,t,Testhosp. FI1,Testkrh. FI1
FI1_TEST_TEST,NAME,t,Testdepartment - Manner-Suomi,Testabteilung - Festländisches Finnland
FI1_TEST_TEST,SHORT_NAME,t,Testdep. FI1,Testabt. FI1
FI2,NAME,f,Åland,
FI2,SHORT_NAME,f,Åland,
FI2_TEST,NAME,t,Testhospital - Åland,Testkrankenhaus - Åland
FI2_TEST,SHORT_NAME,t,Testhosp. FI2,Testkrh. FI2
FI2_TEST_TEST,NAME,t,Testdepartment - Åland,Testabteilung - Åland
FI2_TEST_TEST,SHORT_NAME,t,Testdep. FI2,Testabt. FI2
FR1,NAME,f,Ile-de-France,
FR1,SHORT_NAME,f,Ile-de-France,
FR1_TEST,NAME,t,Testhospital - Île-de-France,Testkrankenhaus - Île-de-France
FR1_TEST,SHORT_NAME,t,Testhosp. FR1,Testkrh. FR1
FR1_TEST_TEST,NAME,t,Testdepartment - Île-de-France,Testabteilung - Île-de-France
FR1_TEST_TEST,SHORT_NAME,t,Testdep. FR1,Testabt. FR1
FRB,NAME,t,Centre — Val de Loire,Zentrum-Loiretal
FRB,SHORT_NAME,t,Centre — Val de Loire,Zentrum-Loiretal
FRB_TEST,NAME,t,Testhospital - Centre — Val de Loire,Testkrankenhaus - Zentrum-Loiretal
FRB_TEST,SHORT_NAME,t,Testhosp. FRB,Testkrh. FRB
FRB_TEST_TEST,NAME,t,Testdepartment - Centre — Val de Loire,Testabteilung - Zentrum-Loiretal
FRB_TEST_TEST,SHORT_NAME,t,Testdep. FRB,Testabt. FRB
FRC,NAME,f,Bourgogne-Franche-Comté,
FRC,SHORT_NAME,f,Bourgogne-Franche-Comté,
FRC_TEST,NAME,t,Testhospital - Bourgogne-Franche-Comté,Testkrankenhaus - Bourgogne-Franche-Comté
FRC_TEST,SHORT_NAME,t,Testhosp. FRC,Testkrh. FRC
FRC_TEST_TEST,NAME,t,Testdepartment - Bourgogne-Franche-Comté,Testabteilung - Bourgogne-Franche-Comté
FRC_TEST_TEST,SHORT_NAME,t,Testdep. FRC,Testabt. FRC
FRD,NAME,f,Normandie,
FRD,SHORT_NAME,f,Normandie,
FRD_TEST,NAME,t,Testhospital - Normandie,Testkrankenhaus - Normandie
FRD_TEST,SHORT_NAME,t,Testhosp. FRD,Testkrh. FRD
FRD_TEST_TEST,NAME,t,Testdepartment - Normandie,Testabteilung - Normandie
FRD_TEST_TEST,SHORT_NAME,t,Testdep. FRD,Testabt. FRD
FRE,NAME,f,Hauts-de-France,
FRE,SHORT_NAME,f,Hauts-de-France,
FRE_TEST,NAME,t,Testhospital - Hauts-de-France,Testkrankenhaus - Hauts-de-France
FRE_TEST,SHORT_NAME,t,Testhosp. FRE,Testkrh. FRE
FRE_TEST_TEST,NAME,t,Testdepartment - Hauts-de-France,Testabteilung - Hauts-de-France
FRE_TEST_TEST,SHORT_NAME,t,Testdep. FRE,Testabt. FRE
FRF,NAME,f,Grand Est,
FRF,SHORT_NAME,f,Grand Est,
FRF_TEST,NAME,t,Testhospital - Grand Est,Testkrankenhaus - Grand Est
FRF_TEST,SHORT_NAME,t,Testhosp. FRF,Testkrh. FRF
FRF_TEST_TEST,NAME,t,Testdepartment - Grand Est,Testabteilung - Grand Est
FRF_TEST_TEST,SHORT_NAME,t,Testdep. FRF,Testabt. FRF
FRG,NAME,f,Pays de la Loire,
FRG,SHORT_NAME,f,Pays de la Loire,
FRG_TEST,NAME,t,Testhospital - Pays de la Loire,Testkrankenhaus - Pays de la Loire
FRG_TEST,SHORT_NAME,t,Testhosp. FRG,Testkrh. FRG
FRG_TEST_TEST,NAME,t,Testdepartment - Pays de la Loire,Testabteilung - Pays de la Loire
FRG_TEST_TEST,SHORT_NAME,t,Testdep. FRG,Testabt. FRG
FRH,NAME,f,Bretagne,
FRH,SHORT_NAME,f,Bretagne,
FRH_TEST,NAME,t,Testhospital - Bretagne,Testkrankenhaus - Bretagne
FRH_TEST,SHORT_NAME,t,Testhosp. FRH,Testkrh. FRH
FRH_TEST_TEST,NAME,t,Testdepartment - Bretagne,Testabteilung - Bretagne
FRH_TEST_TEST,SHORT_NAME,t,Testdep. FRH,Testabt. FRH
FRI,NAME,f,Nouvelle-Aquitaine,
FRI,SHORT_NAME,f,Nouvelle-Aquitaine,
FRI_TEST,NAME,t,Testhospital - Nouvelle-Aquitaine,Testkrankenhaus - Nouvelle-Aquitaine
FRI_TEST,SHORT_NAME,t,Testhosp. FRI,Testkrh. FRI
FRI_TEST_TEST,NAME,t,Testdepartment - Nouvelle-Aquitaine,Testabteilung - Nouvelle-Aquitaine
FRI_TEST_TEST,SHORT_NAME,t,Testdep. FRI,Testabt. FRI
FRJ,NAME,f,Occitanie,
FRJ,SHORT_NAME,f,Occitanie,
FRJ_TEST,NAME,t,Testhospital - Occitanie,Testkrankenhaus - Occitanie
FRJ_TEST,SHORT_NAME,t,Testhosp. FRJ,Testkrh. FRJ
FRJ_TEST_TEST,NAME,t,Testdepartment - Occitanie,Testabteilung - Occitanie
FRJ_TEST_TEST,SHORT_NAME,t,Testdep. FRJ,Testabt. FRJ
FRK,NAME,f,Auvergne-Rhône-Alpes,
FRK,SHORT_NAME,f,Auvergne-Rhône-Alpes,
FRK_TEST,NAME,t,Testhospital - Auvergne-Rhône-Alpes,Testkrankenhaus - Auvergne-Rhône-Alpes
FRK_TEST,SHORT_NAME,t,Testhosp. FRK,Testkrh. FRK
FRK_TEST_TEST,NAME,t,Testdepartment - Auvergne-Rhône-Alpes,Testabteilung - Auvergne-Rhône-Alpes
FRK_TEST_TEST,SHORT_NAME,t,Testdep. FRK,Testabt. FRK
FRL,NAME,f,Provence-Alpes-Côte d’Azur,
FRL,SHORT_NAME,f,Provence-Alpes-Côte d’Azur,
FRL_TEST,NAME,t,Testhospital - Provence-Alpes-Côte d’Azur,Testkrankenhaus - Provence-Alpes-Côte d’Azur
FRL_TEST,SHORT_NAME,t,Testhosp. FRL,Testkrh. FRL
FRL_TEST_TEST,NAME,t,Testdepartment - Provence-Alpes-Côte d’Azur,Testabteilung - Provence-Alpes-Côte d’Azur
FRL_TEST_TEST,SHORT_NAME,t,Testdep. FRL,Testabt. FRL
FRM,NAME,t,Corse,Korsika
FRM,SHORT_NAME,t,Corse,Korsika
FRM_TEST,NAME,t,Testhospital - Corse,Testkrankenhaus - Korsika
FRM_TEST,SHORT_NAME,t,Testhosp. FRM,Testkrh. FRM
FRM_TEST_TEST,NAME,t,Testdepartment - Corse,Testabteilung - Korsika
FRM_TEST_TEST,SHORT_NAME,t,Testdep. FRM,Testabt. FRM
FRY,NAME,t,RUP FR — Régions Ultrapériphériques Françaises,Gebiete in äußerster Randlage Frankreichs
FRY,SHORT_NAME,t,RUP FR — Régions Ultrapériphériques Françaises,Gebiete in äußerster Randlage Frankreichs
FRY_TEST,NAME,t,Testhospital - RUP FR — Régions Ultrapériphériques Françaises,Testkrankenhaus - Gebiete in äußerster Randlage Frankreichs
FRY_TEST,SHORT_NAME,t,Testhosp. FRY,Testkrh. FRY
FRY_TEST_TEST,NAME,t,Testdepartment - RUP FR — Régions Ultrapériphériques Françaises,Testabteilung - Gebiete in äußerster Randlage Frankreichs
FRY_TEST_TEST,SHORT_NAME,t,Testdep. FRY,Testabt. FRY
HR_TEST,NAME,t,Testhospital - Hrvatska,Testkrankenhaus - Kroatien
HR_TEST,SHORT_NAME,t,Testhosp. HR,Testkrh. HR
HR_TEST_TEST,NAME,t,Testdepartment - Hrvatska,Testabteilung - Kroatien
HR_TEST_TEST,SHORT_NAME,t,Testdep. HR,Testabt. HR
HU1,NAME,t,Közép-Magyarország,Mittelungarn
HU1,SHORT_NAME,t,Közép-Magyarország,Mittelungarn
HU1_TEST,NAME,t,Testhospital - Közép-Magyarország,Testkrankenhaus - Mittelungarn
HU1_TEST,SHORT_NAME,t,Testhosp. HU1,Testkrh. HU1
HU1_TEST_TEST,NAME,t,Testdepartment - Közép-Magyarország,Testabteilung - Mittelungarn
HU1_TEST_TEST,SHORT_NAME,t,Testdep. HU1,Testabt. HU1
HU2,NAME,t,Dunántúl,Transdanubien
HU2,SHORT_NAME,t,Dunántúl,Transdanubien
HU2_TEST,NAME,t,Testhospital - Dunántúl,Testkrankenhaus - Transdanubien
HU2_TEST,SHORT_NAME,t,Testhosp. HU2,Testkrh. HU2
HU2_TEST_TEST,NAME,t,Testdepartment - Dunántúl,Testabteilung - Transdanubien
HU2_TEST_TEST,SHORT_NAME,t,Testdep. HU2,Testabt. HU2
HU3,NAME,t,Alföld és Észak,Norden und Tiefebene
HU3,SHORT_NAME,t,Alföld és Észak,Norden und Tiefebene
HU3_TEST,NAME,t,Testhospital - Alföld és Észak,Testkrankenhaus - Norden und Tiefebene
HU3_TEST,SHORT_NAME,t,Testhosp. HU3,Testkrh. HU3
HU3_TEST_TEST,NAME,t,Testdepartment - Alföld és Észak,Testabteilung - Norden und Tiefebene
HU3_TEST_TEST,SHORT_NAME,t,Testdep. HU3,Testabt. HU3
IE_TEST,NAME,t,Testhospital - Ireland,Testkrankenhaus - Irland
IE_TEST,SHORT_NAME,t,Testhosp. IE,Testkrh. IE
IE_TEST_TEST,NAME,t,Testdepartment - Ireland,Testabteilung - Irland
IE_TEST_TEST,SHORT_NAME,t,Testdep. IE,Testabt. IE0
IS_TEST,NAME,t,Testhospital - Ísland,Testkrankenhaus - Island
