id,concept,concept_type,concept_source,concept_id,is_cc,show_mrsa,show_vre,show_3gcr,show_carb_r,show_coli_r
1877,Acinetobacter schindleri,species,LPSN,species/acinetobacter-schindleri,f,f,f,f,t,t
2814,Acinetobacter seifertii,species,LPSN,species/acinetobacter-seifertii,f,f,f,f,t,t
2815,Acinetobacter septicus,species,LPSN,species/acinetobacter-septicus,f,f,f,f,t,t
2107,Acinetobacter ursingii,species,LPSN,species/acinetobacter-ursingii,f,f,f,f,t,t
2816,Acinetobacter variabilis,species,LPSN,species/acinetobacter-variabilis,f,f,f,f,t,t
105,Acremonium,genus,MycoBank,7028,f,f,f,f,f,f
2698,Acremonium alabamense,species,MycoBank,308114,f,f,f,f,f,f
2301,Acremonium potronii,species,MycoBank,248620,f,f,f,f,f,f
2583,Actinobacillus,genus,LPSN,genus/actinobacillus,f,f,f,f,f,f
386,Actinobacillus equuli,species,LPSN,species/actinobacillus-equuli,f,f,f,f,f,f
1263,Actinobacillus hominis,species,LPSN,species/actinobacillus-hominis,f,f,f,f,f,f
957,Actinobacillus lignieresii,species,LPSN,species/actinobacillus-lignieresii,f,f,f,f,f,f
2196,Actinobacillus suis,species,LPSN,species/actinobacillus-suis,f,f,f,f,f,f
1592,Actinobacillus ureae,species,LPSN,species/actinobacillus-ureae,f,f,f,f,f,f
890,Actinobaculum,genus,LPSN,genus/actinobaculum,f,f,f,f,f,f
2930,Actinobaculum massiliense,species,LPSN,species/actinobaculum-massiliense,f,f,f,f,f,f
1198,Actinomadura,genus,LPSN,genus/actinomadura,f,f,f,f,f,f
2428,Actinomadura latina,species,LPSN,species/actinomadura-latina,f,f,f,f,f,f
1902,Actinomadura madurae,species,LPSN,species/actinomadura-madurae,f,f,f,f,f,f
1513,Actinomadura pelletieri,species,LPSN,species/actinomadura-pelletieri,f,f,f,f,f,f
2962,Actinomortierella wolfii,species,MycoBank,835797,f,f,f,f,f,f
743,Actinomyces,genus,LPSN,genus/actinomyces,t,f,f,f,f,f
1833,Actinomyces bovis,species,LPSN,species/actinomyces-bovis,t,f,f,f,f,f
702,Actinomyces dentalis,species,LPSN,species/actinomyces-dentalis,t,f,f,f,f,f
1677,Actinomyces gerencseriae,species,LPSN,species/actinomyces-gerencseriae,t,f,f,f,f,f
2434,Actinomyces graevenitzii,species,LPSN,species/actinomyces-graevenitzii,t,f,f,f,f,f
1341,Actinomyces israelii,species,LPSN,species/actinomyces-israelii,t,f,f,f,f,f
1152,Actinomyces naeslundii,species,LPSN,species/actinomyces-naeslundii,t,f,f,f,f,f
639,Actinomyces oricola,species,LPSN,species/actinomyces-oricola,t,f,f,f,f,f
2519,Actinomyces oris,species,LPSN,species/actinomyces-oris,t,f,f,f,f,f
538,Actinomyces radicidentis,species,LPSN,species/actinomyces-radicidentis,t,f,f,f,f,f
67,Actinomyces urogenitalis,species,LPSN,species/actinomyces-urogenitalis,t,f,f,f,f,f
1104,Actinomyces viscosus,species,LPSN,species/actinomyces-viscosus,t,f,f,f,f,f
2442,Actinotignum,genus,LPSN,genus/actinotignum,f,f,f,f,f,f
2313,Actinotignum schaalii,species,LPSN,species/actinotignum-schaalii,f,f,f,f,f,f
239,Actinotignum urinale,species,LPSN,species/actinotignum-urinale,f,f,f,f,f,f
1628,Aerococcus,genus,LPSN,genus/aerococcus,t,f,f,f,f,f
1668,Aerococcus christensenii,species,LPSN,species/aerococcus-christensenii,t,f,f,f,f,f
1333,Aerococcus sanguinicola,species,LPSN,species/aerococcus-sanguinicola,t,f,f,f,f,f
1672,Aerococcus urinae,species,LPSN,species/aerococcus-urinae,t,f,f,f,f,f
813,Aerococcus urinaeequi,species,LPSN,species/aerococcus-urinaeequi,t,f,f,f,f,f
2019,Aerococcus urinaehominis,species,LPSN,species/aerococcus-urinaehominis,t,f,f,f,f,f
945,Aerococcus viridans,species,LPSN,species/aerococcus-viridans,t,f,f,f,f,f
1731,Aeromonas,genus,LPSN,genus/aeromonas,f,f,f,f,f,t
1765,Aeromonas bestiarum,species,LPSN,species/aeromonas-bestiarum,f,f,f,f,f,t
461,Aeromonas caviae,species,LPSN,species/aeromonas-caviae,f,f,f,f,f,t
2316,Aeromonas encheleia,species,LPSN,species/aeromonas-encheleia,f,f,f,f,f,t
2578,Aeromonas enteropelogenes,species,LPSN,species/aeromonas-enteropelogenes,f,f,f,f,f,t
1801,Aeromonas eucrenophila,species,LPSN,species/aeromonas-eucrenophila,f,f,f,f,f,t
107,Aeromonas hydrophila,species,LPSN,species/aeromonas-hydrophila,f,f,f,f,f,t
983,Aeromonas jandaei,species,LPSN,species/aeromonas-jandaei,f,f,f,f,f,t
32,Aeromonas media,species,LPSN,species/aeromonas-media,f,f,f,f,f,t
2563,Aeromonas molluscorum,species,LPSN,species/aeromonas-molluscorum,f,f,f,f,f,t
232,Aeromonas popoffii,species,LPSN,species/aeromonas-popoffii,f,f,f,f,f,t
2328,Aeromonas salmonicida,species,LPSN,species/aeromonas-salmonicida,f,f,f,f,f,t
1985,Aeromonas schubertii,species,LPSN,species/aeromonas-schubertii,f,f,f,f,f,t
2293,Aeromonas simiae,species,LPSN,species/aeromonas-simiae,f,f,f,f,f,t
763,Aeromonas sobria,species,LPSN,species/aeromonas-sobria,f,f,f,f,f,t
2573,Aeromonas veronii,species,LPSN,species/aeromonas-veronii,f,f,f,f,f,t
1269,Afipia,genus,LPSN,genus/afipia,f,f,f,f,f,f
334,Afipia clevelandensis,species,LPSN,species/afipia-clevelandensis,f,f,f,f,f,f
35,Afipia felis,species,LPSN,species/afipia-felis,f,f,f,f,f,f
3182,Agathobacter rectalis,species,LPSN,species/agathobacter-rectalis,f,f,f,f,f,f
1896,Aggregatibacter,genus,LPSN,genus/aggregatibacter,f,f,f,f,f,f
697,Aggregatibacter actinomycetemcomitans,species,LPSN,species/aggregatibacter-actinomycetemcomitans,f,f,f,f,f,f
2085,Aggregatibacter aphrophilus,species,LPSN,species/aggregatibacter-aphrophilus,f,f,f,f,f,f
89,Aggregatibacter segnis,species,LPSN,species/aggregatibacter-segnis,f,f,f,f,f,f
830,Agrobacterium,genus,LPSN,genus/agrobacterium,f,f,f,f,f,f
1008,Agrobacterium radiobacter,species,LPSN,species/agrobacterium-radiobacter,f,f,f,f,f,f
3076,Agrobacterium rubi,species,LPSN,species/agrobacterium-rubi,f,f,f,f,f,f
2432,Agromyces,genus,LPSN,genus/agromyces,f,f,f,f,f,f
93,Alcaligenes,genus,LPSN,genus/alcaligenes,f,f,f,f,f,f
602,Alcaligenes faecalis,species,LPSN,species/alcaligenes-faecalis,f,f,f,f,f,f
1764,Aleurisma,genus,MycoBank,7087,f,f,f,f,f,f
1995,Alishewanella,genus,LPSN,genus/alishewanella,f,f,f,f,f,f
2072,Alishewanella fetalis,species,LPSN,species/alishewanella-fetalis,f,f,f,f,f,f
1906,Alistipes,genus,LPSN,genus/alistipes,f,f,f,f,f,f
1619,Alistipes putredinis,species,LPSN,species/alistipes-putredinis,f,f,f,f,f,f
3258,Alkalicoccus saliphilus,species,LPSN,species/alkalicoccus-saliphilus,t,f,f,f,f,f
2992,Alkalihalobacillus alcalophilus,species,LPSN,species/alkalihalobacillus-alcalophilus,t,f,f,f,f,f
3093,Alkalihalobacillus algicola,species,LPSN,species/alkalihalobacillus-algicola,t,f,f,f,f,f
3046,Alkalihalobacillus macyae,species,LPSN,species/alkalihalobacillus-macyae,t,f,f,f,f,f
2984,Alkalihalobacillus pseudalcaliphilus,species,LPSN,species/alkalihalobacillus-pseudalcaliphilus,t,f,f,f,f,f
3230,Alkalihalophilus pseudofirmus,species,LPSN,species/alkalihalophilus-pseudofirmus,t,f,f,f,f,f
1384,Alloiococcus,genus,LPSN,genus/alloiococcus,f,f,f,f,f,f
134,Alloiococcus otitis,species,LPSN,species/alloiococcus-otitis,f,f,f,f,f,f
3223,Alloprevotella tannerae,species,LPSN,species/alloprevotella-tannerae,f,f,f,f,f,t
3139,Allorhizobium vitis,species,LPSN,species/allorhizobium-vitis,f,f,f,f,f,f
786,Alloscardovia,genus,LPSN,genus/alloscardovia,f,f,f,f,f,f
2320,Alloscardovia omnicolens,species,LPSN,species/alloscardovia-omnicolens,f,f,f,f,f,f
2795,Alpha-hemolytic streptococci,group,NeoIPC,65,f,f,f,f,f,f
2654,Alphainfluenzavirus influenzae,species,ICTV,202103956,f,f,f,f,f,f
874,Alternaria,genus,MycoBank,7106,f,f,f,f,f,f
1869,Alternaria alternata,species,MycoBank,119834,f,f,f,f,f,f
858,Alternaria dianthicola,species,MycoBank,284026,f,f,f,f,f,f
1019,Alternaria infectoria,species,MycoBank,103987,f,f,f,f,f,f
1749,Alternaria tenuissima,species,MycoBank,280005,f,f,f,f,f,f
2247,Alysiella,genus,LPSN,genus/alysiella,f,f,f,f,f,f
1658,Alysiella crassa,species,LPSN,species/alysiella-crassa,f,f,f,f,f,f
3244,Amedibacillus dolichus,species,LPSN,species/amedibacillus-dolichus,f,f,f,f,f,f
3383,Amesia atrobrunnea,species,MycoBank,818832,f,f,f,f,f,f
1492,Amycolatopsis,genus,LPSN,genus/amycolatopsis,f,f,f,f,f,f
686,Amycolatopsis orientalis,species,LPSN,species/amycolatopsis-orientalis,f,f,f,f,f,f
2982,Anaerobacillus arseniciselenatis,species,LPSN,species/anaerobacillus-arseniciselenatis,t,f,f,f,f,f
337,Anaerobiospirillum,genus,LPSN,genus/anaerobiospirillum,f,f,f,f,f,f
1871,Anaerobiospirillum succiniciproducens,species,LPSN,species/anaerobiospirillum-succiniciproducens,f,f,f,f,f,f
968,Anaerobiospirillum thomasii,species,LPSN,species/anaerobiospirillum-thomasii,f,f,f,f,f,f
3180,Anaerobutyricum hallii,species,LPSN,species/anaerobutyricum-hallii,f,f,f,f,f,f
1925,Anaerococcus,genus,LPSN,genus/anaerococcus,f,f,f,f,f,f
814,Anaerococcus hydrogenalis,species,LPSN,species/anaerococcus-hydrogenalis,f,f,f,f,f,f
1772,Anaerococcus lactolyticus,species,LPSN,species/anaerococcus-lactolyticus,f,f,f,f,f,f
2382,Anaerococcus octavius,species,LPSN,species/anaerococcus-octavius,f,f,f,f,f,f
37,Anaerococcus prevotii,species,LPSN,species/anaerococcus-prevotii,f,f,f,f,f,f
1388,Anaerococcus tetradius,species,LPSN,species/anaerococcus-tetradius,f,f,f,f,f,f
2031,Anaerococcus vaginalis,species,LPSN,species/anaerococcus-vaginalis,f,f,f,f,f,f
767,Anaerorhabdus,genus,LPSN,genus/anaerorhabdus,f,f,f,f,f,f
3051,Anaerorhabdus furcosa,species,LPSN,species/anaerorhabdus-furcosa,f,f,f,f,f,f
3058,Anaerostipes hadrus,species,LPSN,species/anaerostipes-hadrus,f,f,f,f,f,f
2123,Anaplasma,genus,LPSN,genus/anaplasma,f,f,f,f,f,f
331,Aneurinibacillus,genus,LPSN,genus/aneurinibacillus,f,f,f,f,f,f
1921,Aneurinibacillus aneurinilyticus,species,LPSN,species/aneurinibacillus-aneurinilyticus,f,f,f,f,f,f
3412,Apiotrichum loubieri,species,MycoBank,813417,f,f,f,f,f,f
3398,Apiotrichum mycotoxinovorans,species,MycoBank,623118,f,f,f,f,f,f
449,Apophysomyces,genus,MycoBank,20045,f,f,f,f,f,f
1828,Apophysomyces elegans,species,MycoBank,308868,f,f,f,f,f,f
1554,Aquabacterium,genus,LPSN,genus/aquabacterium,f,f,f,f,f,f
14,Aquabacterium parvum,species,LPSN,species/aquabacterium-parvum,f,f,f,f,f,f
2436,Arachnia propionica,species,LPSN,species/arachnia-propionica,t,f,f,f,f,f
439,Arcanobacterium,genus,LPSN,genus/arcanobacterium,t,f,f,f,f,f
1418,Arcanobacterium haemolyticum,species,LPSN,species/arcanobacterium-haemolyticum,t,f,f,f,f,f
90,Arcanobacterium pluranimalium,species,LPSN,species/arcanobacterium-pluranimalium,t,f,f,f,f,f
81,Arcobacter,genus,LPSN,genus/arcobacter,f,f,f,f,f,f
2349,Arcobacter butzleri,species,LPSN,species/arcobacter-butzleri,f,f,f,f,f,f
875,Arcobacter nitrofigilis,species,LPSN,species/arcobacter-nitrofigilis,f,f,f,f,f,f
2535,Arsenicicoccus,genus,LPSN,genus/arsenicicoccus,f,f,f,f,f,f
327,Arsenicicoccus bolidensis,species,LPSN,species/arsenicicoccus-bolidensis,f,f,f,f,f,f
1003,Arthrobacter,genus,LPSN,genus/arthrobacter,t,f,f,f,f,f
1287,Arthrobacter agilis,species,LPSN,species/arthrobacter-agilis,t,f,f,f,f,f
1115,Arthrobacter citreus,species,LPSN,species/arthrobacter-citreus,t,f,f,f,f,f
1370,Arthrobacter crystallopoietes,species,LPSN,species/arthrobacter-crystallopoietes,t,f,f,f,f,f
2343,Arthrobacter flavus,species,LPSN,species/arthrobacter-flavus,t,f,f,f,f,f
1196,Arthrobacter gandavensis,species,LPSN,species/arthrobacter-gandavensis,t,f,f,f,f,f
1477,Arthrobacter globiformis,species,LPSN,species/arthrobacter-globiformis,t,f,f,f,f,f
1529,Arthrobacter koreensis,species,LPSN,species/arthrobacter-koreensis,t,f,f,f,f,f
43,Arthrobacter luteolus,species,LPSN,species/arthrobacter-luteolus,t,f,f,f,f,f
805,Arthrobacter methylotrophus,species,LPSN,species/arthrobacter-methylotrophus,t,f,f,f,f,f
1085,Arthrobacter oryzae,species,LPSN,species/arthrobacter-oryzae,t,f,f,f,f,f
2058,Arthrobacter pascens,species,LPSN,species/arthrobacter-pascens,t,f,f,f,f,f
1587,Arthrobacter psychrolactophilus,species,LPSN,species/arthrobacter-psychrolactophilus,t,f,f,f,f,f
1496,Arthrobacter ramosus,species,LPSN,species/arthrobacter-ramosus,t,f,f,f,f,f
1111,Arthrobacter rhombi,species,LPSN,species/arthrobacter-rhombi,t,f,f,f,f,f
1808,Arthrobacter roseus,species,LPSN,species/arthrobacter-roseus,t,f,f,f,f,f
1638,Arthrobacter russicus,species,LPSN,species/arthrobacter-russicus,t,f,f,f,f,f
1175,Arthrobacter woluwensis,species,LPSN,species/arthrobacter-woluwensis,t,f,f,f,f,f
1332,Arthroderma,genus,MycoBank,335,f,f,f,f,f,f
465,Arthrographis,genus,MycoBank,7222,f,f,f,f,f,f
3116,Asaccharospora irregularis,species,LPSN,species/asaccharospora-irregularis,f,f,f,f,f,f
266,Aspergillus candidus,species,MycoBank,204868,f,f,f,f,f,f
2205,Aspergillus clavatus,species,MycoBank,211530,f,f,f,f,f,f
2048,Aspergillus deflectus,species,MycoBank,292841,f,f,f,f,f,f
3406,Aspergillus fischeri,species,MycoBank,202877,f,f,f,f,f,f
902,Aspergillus flavipes,species,MycoBank,265045,f,f,f,f,f,f
2480,Aspergillus flavus,species,MycoBank,209842,f,f,f,f,f,f
3396,Aspergillus flavus var. oryzae,variety,MycoBank,130238,f,f,f,f,f,f
1717,Aspergillus fumigatus,species,MycoBank,211776,f,f,f,f,f,f
853,Aspergillus glaucus,species,MycoBank,161735,f,f,f,f,f,f
2046,Aspergillus nidulans,species,MycoBank,182069,f,f,f,f,f,f
2197,Aspergillus niger,species,MycoBank,284309,f,f,f,f,f,f
1694,Aspergillus niveus,species,MycoBank,272402,f,f,f,f,f,f
664,Aspergillus ochraceus,species,MycoBank,190223,f,f,f,f,f,f
2150,Aspergillus parasiticus,species,MycoBank,191085,f,f,f,f,f,f
1723,Aspergillus restrictus,species,MycoBank,276290,f,f,f,f,f,f
2288,Aspergillus sydowii,species,MycoBank,279636,f,f,f,f,f,f
976,Aspergillus terreus,species,MycoBank,191719,f,f,f,f,f,f
2314,Aspergillus ustus,species,MycoBank,281216,f,f,f,f,f,f
2188,Aspergillus versicolor,species,MycoBank,172159,f,f,f,f,f,f
868,Aspergillus wentii,species,MycoBank,172623,f,f,f,f,f,f
539,Astroviridae,family,ICTV,202102619,f,f,f,f,f,f
1858,Atopobium,genus,LPSN,genus/atopobium,f,f,f,f,f,f
2191,Atopobium fossor,species,LPSN,species/atopobium-fossor,f,f,f,f,f,f
1742,Atopobium minutum,species,LPSN,species/atopobium-minutum,f,f,f,f,f,f
1072,Aureimonas,genus,LPSN,genus/aureimonas,f,f,f,f,f,f
1665,Aureimonas altamirensis,species,LPSN,species/aureimonas-altamirensis,f,f,f,f,f,f
2492,Aureobasidium,genus,MycoBank,7297,f,f,f,f,f,f
2964,Aureobasidium pullulans,species,MycoBank,101771,f,f,f,f,f,f
2931,Averyella,genus,LPSN,genus/averyella,f,f,f,t,t,t
2932,Averyella dalhousiensis,species,LPSN,species/averyella-dalhousiensis,f,f,f,t,t,t
1400,Azorhizobium,genus,LPSN,genus/azorhizobium,f,f,f,f,f,f
1,Azorhizobium caulinodans,species,LPSN,species/azorhizobium-caulinodans,f,f,f,f,f,f
2581,Azospirillum,genus,LPSN,genus/azospirillum,f,f,f,f,f,f
1918,Azospirillum brasilense,species,LPSN,species/azospirillum-brasilense,f,f,f,f,f,f
3349,Azymocandida mycoderma,species,MycoBank,326854,f,f,f,f,f,f
1256,Bacillus,genus,LPSN,genus/bacillus,t,f,f,f,f,f
2933,Bacillus aeolius,species,LPSN,species/bacillus-aeolius,t,f,f,f,f,f
2934,Bacillus aerius,species,LPSN,species/bacillus-aerius,t,f,f,f,f,f
315,Bacillus amyloliquefaciens,species,LPSN,species/bacillus-amyloliquefaciens,t,f,f,f,f,f
3290,Bacillus aneurinilyticus,species,LPSN,species/bacillus-aneurinilyticus,f,f,f,f,f,f
2032,Bacillus anthracis,species,LPSN,species/bacillus-anthracis,f,f,f,f,f,f
1796,Bacillus atrophaeus,species,LPSN,species/bacillus-atrophaeus,t,f,f,f,f,f
1617,Bacillus badius,species,LPSN,species/bacillus-badius,t,f,f,f,f,f
2241,Bacillus benzoevorans,species,LPSN,species/bacillus-benzoevorans,t,f,f,f,f,f
1403,Bacillus carboniphilus,species,LPSN,species/bacillus-carboniphilus,t,f,f,f,f,f
1202,Bacillus cereus,species,LPSN,species/bacillus-cereus,t,f,f,f,f,f
2935,Bacillus cereus group,group,NeoIPC,76,t,f,f,f,f,f
2912,Bacillus cytotoxicus,species,LPSN,species/bacillus-cytotoxicus,t,f,f,f,f,f
130,Bacillus decisifrondis,species,LPSN,species/bacillus-decisifrondis,t,f,f,f,f,f
1581,Bacillus horti,species,LPSN,species/bacillus-horti,t,f,f,f,f,f
3329,Bacillus inaquosorum,species,LPSN,species/bacillus-inaquosorum,t,f,f,f,f,f
1962,Bacillus infantis,species,LPSN,species/bacillus-infantis,t,f,f,f,f,f
2306,Bacillus infernus,species,LPSN,species/bacillus-infernus,t,f,f,f,f,f
1406,Bacillus licheniformis,species,LPSN,species/bacillus-licheniformis,t,f,f,f,f,f
1038,Bacillus methanolicus,species,LPSN,species/bacillus-methanolicus,t,f,f,f,f,f
672,Bacillus mojavensis,species,LPSN,species/bacillus-mojavensis,t,f,f,f,f,f
2506,Bacillus mycoides,species,LPSN,species/bacillus-mycoides,t,f,f,f,f,f
2089,Bacillus pseudomycoides,species,LPSN,species/bacillus-pseudomycoides,t,f,f,f,f,f
2045,Bacillus pumilus,species,LPSN,species/bacillus-pumilus,t,f,f,f,f,f
1941,Bacillus smithii,species,LPSN,species/bacillus-smithii,t,f,f,f,f,f
2560,Bacillus sonorensis,species,LPSN,species/bacillus-sonorensis,t,f,f,f,f,f
3213,Bacillus spizizenii,species,LPSN,species/bacillus-spizizenii,t,f,f,f,f,f
1364,Bacillus subtilis,species,LPSN,species/bacillus-subtilis,t,f,f,f,f,f
2938,Bacillus subtilis group,group,NeoIPC,77,t,f,f,f,f,f
851,Bacillus tequilensis,species,LPSN,species/bacillus-tequilensis,t,f,f,f,f,f
2525,Bacillus thermoamylovorans,species,LPSN,species/bacillus-thermoamylovorans,t,f,f,f,f,f
794,Bacillus thermocloacae,species,LPSN,species/bacillus-thermocloacae,t,f,f,f,f,f
282,Bacillus thuringiensis,species,LPSN,species/bacillus-thuringiensis,t,f,f,f,f,f
854,Bacillus vallismortis,species,LPSN,species/bacillus-vallismortis,t,f,f,f,f,f
659,Bacillus velezensis,species,LPSN,species/bacillus-velezensis,t,f,f,f,f,f
44,Bacteroides,genus,LPSN,genus/bacteroides,f,f,f,f,f,f
2408,Bacteroides caccae,species,LPSN,species/bacteroides-caccae,f,f,f,f,f,f
2896,Bacteroides denticanum,species,LPSN,species/bacteroides-denticanum,f,f,f,f,f,f
1923,Bacteroides eggerthii,species,LPSN,species/bacteroides-eggerthii,f,f,f,f,f,f
2899,Bacteroides faecis,species,LPSN,species/bacteroides-faecis,f,f,f,f,f,f
2900,Bacteroides fluxus,species,LPSN,species/bacteroides-fluxus,f,f,f,f,f,f
1296,Bacteroides fragilis,species,LPSN,species/bacteroides-fragilis,f,f,f,f,f,f
2939,Bacteroides fragilis group,group,NeoIPC,78,f,f,f,f,f,f
2902,Bacteroides galacturonicus,species,LPSN,species/bacteroides-galacturonicus,f,f,f,f,f,f
1413,Bacteroides heparinolyticus,species,LPSN,species/bacteroides-heparinolyticus,f,f,f,f,f,f
772,Bacteroides nordii,species,LPSN,species/bacteroides-nordii,f,f,f,f,f,f
685,Bacteroides ovatus,species,LPSN,species/bacteroides-ovatus,f,f,f,f,f,f
2903,Bacteroides pectinophilus,species,LPSN,species/bacteroides-pectinophilus,f,f,f,f,f,f
1217,Bacteroides pyogenes,species,LPSN,species/bacteroides-pyogenes,f,f,f,f,f,f
2904,Bacteroides salyersiae,species,LPSN,species/bacteroides-salyersiae,f,f,f,f,f,f
2216,Bacteroides stercoris,species,LPSN,species/bacteroides-stercoris,f,f,f,f,f,f
2104,Bacteroides thetaiotaomicron,species,LPSN,species/bacteroides-thetaiotaomicron,f,f,f,f,f,f
1027,Bacteroides uniformis,species,LPSN,species/bacteroides-uniformis,f,f,f,f,f,f
2009,Bacteroides zoogleoformans,species,LPSN,species/bacteroides-zoogleoformans,f,f,f,f,f,f
1739,Balneatrix,genus,LPSN,genus/balneatrix,f,f,f,f,f,f
1024,Balneatrix alpica,species,LPSN,species/balneatrix-alpica,f,f,f,f,f,f
1166,Bartonella,genus,LPSN,genus/bartonella,f,f,f,f,f,f
1010,Bartonella bacilliformis,species,LPSN,species/bartonella-bacilliformis,f,f,f,f,f,f
264,Bartonella clarridgeiae,species,LPSN,species/bartonella-clarridgeiae,f,f,f,f,f,f
2520,Bartonella elizabethae,species,LPSN,species/bartonella-elizabethae,f,f,f,f,f,f
1639,Bartonella henselae,species,LPSN,species/bartonella-henselae,f,f,f,f,f,f
2075,Bartonella quintana,species,LPSN,species/bartonella-quintana,f,f,f,f,f,f
1535,Bartonella vinsonii,species,LPSN,species/bartonella-vinsonii,f,f,f,f,f,f
1326,Basidiobolus,genus,MycoBank,20068,f,f,f,f,f,f
1670,Basidiobolus haptosporus,species,MycoBank,284511,f,f,f,f,f,f
1484,Basidiobolus heterosporus,species,MycoBank,326921,f,f,f,f,f,f
1560,Basidiobolus meristosporus,species,MycoBank,293630,f,f,f,f,f,f
873,Basidiobolus ranarum,species,MycoBank,224388,f,f,f,f,f,f
141,Beauveria,genus,MycoBank,7346,f,f,f,f,f,f
1012,Beauveria bassiana,species,MycoBank,199430,f,f,f,f,f,f
680,Bergeyella,genus,LPSN,genus/bergeyella,f,f,f,f,f,f
494,Bergeyella zoohelcum,species,LPSN,species/bergeyella-zoohelcum,f,f,f,f,f,f
2796,Beta-hemolytic streptococci,group,NeoIPC,66,f,f,f,f,f,f
2655,Betainfluenzavirus influenzae,species,ICTV,202103958,f,f,f,f,f,f
2642,Betapolyomavirus hominis,species,ICTV,202104459,f,f,f,f,f,f
3335,Betapolyomavirus macacae,species,ICTV,202104464,f,f,f,f,f,f
2682,Betapolyomavirus secuhominis,species,ICTV,202104460,f,f,f,f,f,f
3171,Bhargavaea ginsengi,species,LPSN,species/bhargavaea-ginsengi,t,f,f,f,f,f
8,Bifidobacterium,genus,LPSN,genus/bifidobacterium,f,f,f,f,f,f
840,Bifidobacterium adolescentis,species,LPSN,species/bifidobacterium-adolescentis,f,f,f,f,f,f
